team,nationality,position,potential,name
Real Madrid ,Wales,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Muy bueno,Gareth Bale
Tottenham Hotspur ,Belgium,Defensa lateral (lateral derecha)|Defensa central,Muy bueno,Jan Vertonghen
FC Barcelona ,Croatia,Mediocampista central,Muy bueno,Ivan Rakitic
Juventus ,Argentina,Delantero,Muy bueno,Gonzalo Higuaín
Manchester City ,Brazil,Defensa central|Mediocampista defensivo,Muy bueno,Fernandinho
Milan ,Sweden,Delantero,Muy bueno,Zlatan Ibrahimovic
Bayer 04 Leverkusen ,Germany,Mediocampista lateral|Mediocampista ofensivo,Sobresaliente,Kai Havertz
Manchester United ,England,Delantero|Mediocampista lateral (Mediocampista derecho),Muy bueno,Marcus Rashford
Inter ,Argentina,Delantero,Sobresaliente,Lautaro Martínez
Leicester City ,Nigeria,Mediocampista defensivo|Mediocampista central,Muy bueno,Wilfred Ndidi
FC Bayern München ,France,Defensa lateral (lateral derecha)|Defensa central,Muy bueno,Lucas Hernández
FC Bayern München ,France,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Muy bueno,Kingsley Coman
FC Porto ,Brazil,Defensa lateral (lateral derecha),Muy bueno,Alex Telles
Borussia Dortmund ,Germany,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,Muy bueno,Julian Brandt
Leicester City ,Portugal,Defensa lateral,Muy bueno,Ricardo Pereira
Atlético Madrid ,Ghana,Mediocampista defensivo|Mediocampista central,Muy bueno,Thomas Partey
FC Bayern München ,Germany,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Muy bueno,Leon Goretzka
Atlético Madrid ,Brazil,Defensa central,Muy bueno,Felipe
Chelsea ,Croatia,Mediocampista central,Muy bueno,Mateo Kovacic
Chelsea ,Italy,Mediocampista defensivo|Mediocampista central,Muy bueno,Jorginho
Olympique Lyonnais ,Netherlands,Mediocampista ofensivo|Delantero central|Extremo (Extremo izquierdo),Muy bueno,Memphis Depay
Atalanta ,Slovenia,Delantero|Delantero central,Muy bueno,Josip Ilicic
Napoli ,Brazil,Mediocampista central,Muy bueno,Allan
Lazio ,Italy,Defensa central,Muy bueno,Francesco Acerbi
Olympique Lyonnais ,Portugal,Portero,Muy bueno,Anthony Lopes
AS Monaco Football Club SA ,France,Delantero,Muy bueno,Wissam Ben Yedder
Real Madrid ,Colombia,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,Muy bueno,James Rodríguez
FC Barcelona ,Brazil,Portero,Muy bueno,Neto
Paris Saint-Germain ,Senegal,Mediocampista defensivo|Mediocampista central,Muy bueno,Idrissa Gueye
Arsenal ,France,Delantero,Muy bueno,Alexandre Lacazette
Napoli ,Greece,Defensa central,Muy bueno,Kostas Manolas
Juventus ,Brazil,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Muy bueno,Alex Sandro
Juventus ,Brazil,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Muy bueno,Douglas Costa
Real Betis ,Spain,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,Muy bueno,Canales
Shanghai SIPG FC ,Brazil,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),Muy bueno,Oscar
Manchester City ,Germany,Mediocampista defensivo|Mediocampista central,Muy bueno,Ilkay Gündogan
Napoli ,Spain,Mediocampista lateral|Extremo (Extremo derecho),Muy bueno,José Callejón
Chelsea ,Spain,Defensa lateral|Defensa lateral (lateral derecha)|Defensa central,Muy bueno,Azpilicueta
FC Barcelona ,Chile,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Muy bueno,Arturo Vidal
Roma ,Bosnia & Herzegovina,Delantero,Muy bueno,Edin Dzeko
Sevilla FC ,Argentina,Mediocampista defensivo|Mediocampista central,Muy bueno,Éver Banega
Cagliari ,Belgium,Mediocampista central|Mediocampista ofensivo|Delantero central,Muy bueno,Radja Nainggolan
Real Madrid ,Brazil,Defensa lateral (lateral derecha),Muy bueno,Marcelo
Lazio ,Brazil,Mediocampista defensivo,Muy bueno,Lucas Leiva
Juventus ,France,Mediocampista defensivo|Mediocampista central,Muy bueno,Blaise Matuidi
Torino ,Italy,Portero,Muy bueno,Salvatore Sirigu
Wolverhampton Wanderers ,Portugal,Mediocampista central,Muy bueno,João Moutinho
FC Barcelona ,France,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Sobresaliente,Ousmane Dembélé
Grêmio ,Brazil,Mediocampista ofensivo|Extremo (Extremo derecho),Muy bueno,Ronaldo Cabrais
Grêmio ,Brazil,Defensa central,Muy bueno,Josué Chiamulera
Atlético Mineiro ,Brazil,Delantero|Delantero central,Muy bueno,Louri Beretta
Real Sociedad ,Spain,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Muy bueno,Oyarzabal
Napoli ,Spain,Mediocampista central,Muy bueno,Fabián
Ajax ,Netherlands,Mediocampista central|Mediocampista ofensivo,Muy bueno,Donny van de Beek
Roma ,Spain,Portero,Muy bueno,Pau López
Getafe CF ,Togo,Defensa central,Muy bueno,Dakonam Djené
SL Benfica ,Portugal,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Muy bueno,Rafa
TSG 1899 Hoffenheim ,Croatia,Delantero|Mediocampista ofensivo,Muy bueno,Andrej Kramaric
Inter ,Croatia,Mediocampista defensivo|Mediocampista central,Muy bueno,Marcelo Brozovic
Atalanta ,Colombia,Delantero,Muy bueno,Duván Zapata
Guangzhou Evergrande Taobao FC ,Brazil,Mediocampista ofensivo|Extremo (Extremo derecho),Muy bueno,Anderson Talisca
Lazio ,lbania,Portero,Muy bueno,Thomas Strakosha
Manchester United ,France,Delantero,Muy bueno,Anthony Martial
Ajax ,Argentina,Defensa lateral (lateral derecha),Muy bueno,Nicolás Tagliafico
Tottenham Hotspur ,England,Mediocampista central|Mediocampista ofensivo,Muy bueno,Dele Alli
Milan ,Italy,Defensa central,Muy bueno,Alessio Romagnoli
SL Benfica ,Spain,Defensa lateral (lateral derecha),Muy bueno,Grimaldo
Borussia Dortmund ,Portugal,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,Muy bueno,Raphaël Guerreiro
Ajax ,Netherlands,Mediocampista ofensivo|Extremo (Extremo izquierdo),Muy bueno,Quincy Promes
Eintracht Frankfurt ,Serbia,Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Muy bueno,Filip Kostic
Atlético Madrid ,Belgium,Mediocampista lateral (Mediocampista derecho),Muy bueno,Yannick Carrasco
Chelsea ,Spain,Portero,Muy bueno,Kepa
Medipol Basaksehir FK ,Bosnia & Herzegovina,Mediocampista lateral,Muy bueno,Edin Višca
Napoli ,Poland,Delantero,Muy bueno,Arkadiusz Milik
Real Sociedad ,Spain,Mediocampista lateral|Delantero central|Extremo (Extremo derecho),Muy bueno,Portu
Olympique de Marseille ,France,Mediocampista lateral|Extremo (Extremo derecho),Muy bueno,Florian Thauvin
RB Leipzig ,Austria,Mediocampista central|Mediocampista ofensivo,Muy bueno,Marcel Sabitzer
Wolverhampton Wanderers ,Mexico,Delantero,Muy bueno,Raúl Jiménez
Atlético Madrid ,Montenegro,Defensa central,Muy bueno,Stefan Savic
