team,nationality,position,potential,name 
Once Caldas ,Colombia,Portero,Bueno,Sergio Román
Orlando City Soccer Club ,Canada,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Tesho Akindele
SG Dynamo Dresden ,Sweden,Delantero,Bueno,Alexander Jeremejeff
Atlético Bucaramanga ,Colombia,Defensa lateral,Bueno,Jair Palacios
CD O'Higgins ,Chile,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Francisco Arancibia
Urawa Red Diamonds ,Japan,Mediocampista central|Mediocampista ofensivo|Delantero central,Bueno,Kazuki Nagasawa
CD Everton de Viña del Mar ,Chile,Defensa lateral|Defensa central|Mediocampista central,Bueno,Rodrigo Echeverría
Fotbal Club Dinamo Bucure?ti ,Croatia,Defensa central,Bueno,Ante Puljic
Football Club de Metz ,France,Mediocampista lateral (Mediocampista derecho),Bueno,Thierry Ambrose
Atlético Nacional ,Colombia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Estéfano Arango
CD Numancia ,Spain,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,Alain Oyarzun
Cruz Azul ,Colombia,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,Alex Castro
Godoy Cruz ,Paraguay,Defensa central,Bueno,Danilo Ortiz
Sport-Club Freiburg ,Australia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Brandon Borrello
Gil Vicente FC ,Brazil,Mediocampista defensivo|Mediocampista central,Bueno,João Afonso
Lincoln City ,Wales,Mediocampista central,Bueno,Joe Morrell
Perth Glory ,Switzerland,Defensa central,Bueno,Gregory Wüthrich
Trabzonspor ,Argentina,Defensa lateral (lateral derecha)|Defensa central,Bueno,Gastón Campi
Millwall ,England,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Connor Mahoney
KV Kortrijk ,Nigeria,Mediocampista lateral|Mediocampista ofensivo,Bueno,Abdul Ajagun
Cremona ,Italy,Delantero central|Extremo (Extremo izquierdo),Bueno,Vittorio Parigini
Odds BK ,Norway,Mediocampista central,Bueno,Vebjørn Hoff
Venezia ,Italy,Delantero|Mediocampista ofensivo|Extremo (Extremo derecho),Bueno,Mattia Aramu
Odense Boldklub ,Denmark,Extremo|Extremo (Extremo izquierdo),Bueno,Jacob Barrett Laursen
Huachipato FC ,Chile,Portero,Bueno,Gabriel Castellón
Club River Plate Asunción ,Argentina,Portero,Bueno,Osvaldo Cabral
Kaizer Chiefs ,South Africa,Mediocampista lateral|Mediocampista ofensivo|Extremo (Extremo derecho),Bueno,Joseph Molangoane
Pordenone ,Italy,Mediocampista ofensivo|Delantero central,Bueno,Patrick Ciurria
Patriotas Boyacá FC ,Colombia,Delantero|Mediocampista lateral,Bueno,Carlos Rivas
Audax Italiano ,Chile,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),Bueno,Diego Torres
Clermont Foot 63 ,Benin,Defensa central,Bueno,Cédric Hountondji
Defensa y Justicia ,Argentina,Defensa lateral (lateral derecha)|Defensa central,Bueno,Gonzalo Piovi
CD Lugo ,Spain,Portero,Bueno,Ander Cantero
Huachipato FC ,Chile,Defensa lateral (lateral derecha)|Defensa central,Bueno,Diego Oyarzún
Atlético Nacional ,Colombia,Mediocampista lateral (Mediocampista derecho),Bueno,Déinner Quiñónes
Desportivo das Aves ,Brazil,Defensa lateral,Bueno,Jaílson
SK Brann ,Ghana,Extremo (Extremo derecho),Bueno,Gilbert Koomson
Fotbal Club Politehnica Ia?i ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Manuel De Iriondo
FK Austria Wien ,United States,Defensa central,Bueno,Erik Palmer-Brown
Peterborough United ,England,Mediocampista central|Mediocampista ofensivo,Bueno,Reece Brown
Coquimbo Unido ,Chile,Defensa lateral (lateral derecha)|Defensa central,Bueno,Raúl Osorio
Cusco Fútbol Club ,Paraguay,Mediocampista defensivo|Mediocampista central,Bueno,Eduardo Aranda
Piast Gliwice ,Hungary,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Kristopher Vida
Millonarios FC ,Colombia,Delantero,Bueno,Cristian Arango
Unión Española ,Argentina,Defensa lateral,Bueno,Juan Pablo Gómez
Colo-Colo ,Chile,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Brayan Véjar
U.N.A.M. ,Mexico,Delantero,Bueno,Martín Barragán
Portimonense SC ,Japan,Portero,Bueno,Shuichi Gonda
Vissel Kobe ,Japan,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Junya Tanaka
Santa Clara ,Guinea Bissau,Defensa lateral (lateral derecha),Bueno,Mamadu Candé
Jiangsu Suning FC ,China PR,Mediocampista defensivo|Mediocampista central,Bueno,Wu Xi
Queens Park Rangers ,England,Portero,Bueno,Joe Lumley
Racing Club de Lens ,France,Mediocampista defensivo|Mediocampista central,Bueno,Manuel Perez
Perugia ,Italy,Defensa lateral (lateral derecha)|Defensa central|Mediocampista lateral (Mediocampista derecho),Bueno,Gianluca Di Chiara
Hull City ,England,Defensa lateral|Defensa central,Bueno,Matthew Pennington
Randers FC ,Sweden,Portero,Bueno,Patrik Carlgren
Venezia ,Italy,Defensa central,Bueno,Michele Cremonesi
CD Mirandés ,Spain,Delantero,Bueno,Mario Barco
Málaga CF ,lbania,Delantero,Bueno,Armando Sadiku
Free Agents ,Bulgaria,Mediocampista lateral|Mediocampista ofensivo,Bueno,Todor Nedelev
Pogon Szczecin ,Portugal,Mediocampista defensivo,Bueno,Tomás Podstawski
1. FC Kaiserslautern ,Lithuania,Delantero,Bueno,Lukas Spalvis
FC Ingolstadt 04 ,Germany,Delantero,Bueno,Stefan Kutschke
Legia Warszawa ,Croatia,Mediocampista defensivo,Bueno,Domagoj Antolic
CFR Cluj ,Bosnia & Herzegovina,Defensa lateral,Bueno,Mateo Sušic
FC Würzburger Kickers ,Germany,Mediocampista lateral,Bueno,Fabio Kaufmann
SpVgg Greuther Fürth ,Germany,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,Marvin Stefaniak
Cosenza ,Italy,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista lateral,Bueno,Luca Bittante
Portland Timbers ,Croatia,Defensa central|Mediocampista defensivo,Bueno,Dario Zuparic
Atlanta United ,United States,Mediocampista central,Bueno,Emerson Hyndman
Venezia ,Italy,Delantero,Bueno,Gaetano Monachello
Grenoble Foot 38 ,France,Defensa lateral|Defensa central,Bueno,Adrien Monfray
KV Mechelen ,Netherlands,Defensa lateral (lateral derecha)|Defensa central,Bueno,Lucas Bijker
Albacete BP ,Spain,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,Bueno,Maikel Mesa
Malmö FF ,Sweden,Mediocampista central,Bueno,Erdal Rakip
FC Paços de Ferreira ,Brazil,Delantero,Bueno,Denilson
FK Bodø/Glimt ,Denmark,Extremo (Extremo derecho),Bueno,Philip Zinckernagel
La Spezia ,Italy,Defensa central,Bueno,Elio Capradossi
Royal Antwerp FC ,Belgium,Mediocampista central|Mediocampista ofensivo,Bueno,Sander Coopman
Defensa y Justicia ,Argentina,Delantero|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,Eugenio Isnaldo
Colón de Santa Fe ,Argentina,Defensa lateral,Bueno,Gastón Díaz
Unión Española ,Colombia,Mediocampista central|Mediocampista ofensivo,Bueno,Yulián Mejía
Coquimbo Unido ,Chile,Mediocampista central,Bueno,Fernando Manríquez
Junior FC ,Colombia,Defensa central,Bueno,Daniel Rosero
Unión de Santa Fe ,Argentina,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Federico Milo
CD Everton de Viña del Mar ,Argentina,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Sebastián Pol
Belenenses ,Spain,Extremo|Extremo (Extremo izquierdo),Bueno,Francisco Varela
Unión La Calera ,Chile,Defensa lateral (lateral derecha),Bueno,Fernando Cordero
Huachipato FC ,Chile,Mediocampista defensivo|Mediocampista central,Bueno,Claudio Sepúlveda
Deportes Iquique ,Chile,Delantero,Bueno,Matías Donoso
CD O'Higgins ,Chile,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,José Luis Muñoz
CD Antofagasta ,Chile,Portero,Bueno,Ignacio González
Atlético Nacional ,Colombia,Delantero,Bueno,Jefferson Duque
Deportivo Pasto ,Colombia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Jhon Fredy Pajoy
Club Libertad ,Colombia,Mediocampista defensivo,Bueno,Alexander Mejía
La Equidad ,Colombia,Portero,Bueno,Cristian Bonilla
Once Caldas ,Colombia,Defensa lateral (lateral derecha)|Defensa central,Bueno,Luis Payares
Once Caldas ,Colombia,Defensa lateral (lateral derecha),Bueno,Elvis Mosquera
Deportes Iquique ,Chile,Defensa central,Bueno,Alejandro Contreras
Rionegro Águilas ,Colombia,Mediocampista defensivo|Mediocampista central,Bueno,Iván Rivas
Deportivo Pasto ,Colombia,Defensa lateral,Bueno,Juan Arboleda
La Equidad ,Colombia,Portero,Bueno,Diego Novoa
Junior FC ,Colombia,Mediocampista defensivo|Mediocampista central,Bueno,Didier Moreno
CD Everton de Viña del Mar ,Chile,Defensa lateral (lateral derecha),Bueno,Dilan Zúñiga
Junior FC ,Colombia,Portero,Bueno,José Chunga
Curicó Unido ,Chile,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),Bueno,Pablo Parra
Coquimbo Unido ,Chile,Defensa central,Bueno,Benjamín Vidal
Alianza Petrolera ,Colombia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Cleider Alzáte
América de Cali ,Colombia,Defensa lateral,Bueno,Juan Zuluaga
Alianza Petrolera ,Colombia,Mediocampista defensivo|Mediocampista central,Bueno,John Hernández
Club Olimpia ,Colombia,Defensa central,Bueno,Jorge Arias
La Equidad ,Colombia,Defensa lateral (lateral derecha),Bueno,Andrés Correa
Independiente Santa Fe ,Colombia,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Dairon Mosquera
Rionegro Águilas ,Equatorial Guinea,Portero,Bueno,Carlos Bejarano
Deportivo Cali ,Colombia,Mediocampista defensivo|Mediocampista lateral|Mediocampista central,Bueno,Juan Daniel Roa
La Equidad ,Colombia,Mediocampista defensivo|Mediocampista central,Bueno,Juan Mahecha
HJK Helsinki ,Colombia,Defensa lateral (lateral derecha),Bueno,Luis Carlos Murillo
Sheffield Wednesday ,England,Portero,Bueno,Cameron Dawson
Independiente Santa Fe ,Colombia,Defensa lateral|Mediocampista defensivo|Mediocampista central,Bueno,Daniel Giraldo
Jaguares Fútbol Club ,Colombia,Mediocampista lateral|Mediocampista ofensivo,Bueno,Hárrison Mojica
Castellammare di Stabia ,Italy,Delantero,Bueno,Francesco Forte
Havre Athletic Club ,Algeria,Mediocampista defensivo,Bueno,Victor Lekhal
Blackburn Rovers ,England,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Joe Rothwell
Coventry City ,England,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),Bueno,Fankaty Dabo
SSV Jahn Regensburg ,Germany,Mediocampista defensivo|Mediocampista central,Bueno,Andreas Geipl
Cremona ,Sweden,Mediocampista central,Bueno,Samuel Gustafson
Audax Italiano ,Chile,Defensa lateral|Defensa central|Mediocampista lateral,Bueno,Osvaldo Bosso
Universidad Católica ,Chile,Defensa lateral (lateral derecha),Bueno,Juan Cornejo
Karlsruher SC ,Germany,Portero,Bueno,Marius Gersbeck
Hellas Verona ,Poland,Defensa central,Bueno,Pawel Dawidowicz
Venezia ,Italy,Mediocampista central,Bueno,Antonio Vacca
FC Sochaux-Montbéliard ,Cameroon,Defensa central,Bueno,Adolphe Teikeu
Djurgårdens IF ,Sweden,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Jonathan Ring
TSV 1860 München ,Germany,Delantero|Mediocampista lateral|Mediocampista ofensivo,Bueno,Stefan Lex
CD Universidad de Concepción ,Uruguay,Mediocampista defensivo|Mediocampista central,Bueno,Matías Cabrera
Málaga CF ,Spain,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),Bueno,Cifu
SønderjyskE ,Denmark,Defensa central,Bueno,Patrick Banggaard
KV Oostende ,Cameroon,Portero,Bueno,Fabrice Ondoa
Rodez Aveyron Football ,France,Mediocampista defensivo|Mediocampista central,Bueno,David Douline
Blackpool ,Ivory Coast,Delantero,Bueno,Armand Gnanduillet
Havre Athletic Club ,Senegal,Delantero,Bueno,Jamal Thiaré
Heart of Midlothian ,Portugal,Portero,Bueno,Joel Pereira
SG Dynamo Dresden ,Germany,Mediocampista central|Mediocampista ofensivo,Bueno,René Klingenburg
SK Sturm Graz ,Ghana,Defensa lateral|Defensa central,Bueno,Isaac Donkor
Rionegro Águilas ,Colombia,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Andrés Rentería
Gazisehir Gaziantep Futbol Kulübü ,Brazil,Defensa lateral|Mediocampista defensivo|Mediocampista central,Bueno,Jefferson
CD Universidad de Concepción ,Uruguay,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Gonzalo Bueno
Sheffield United ,Netherlands,Delantero|Delantero central,Bueno,Richairo Zivkovic
Lechia Gdansk ,Croatia,Defensa central,Bueno,Mario Maloca
FC Emmen ,Belgium,Defensa central|Mediocampista defensivo,Bueno,Michael Heylen
Club Deportivo Jorge Wilstermann ,Bolivia,Defensa central,Bueno,Edward Zenteno
SV Darmstadt 98 ,Germany,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Erich Berko
VfL Osnabrück ,Germany,Defensa central|Mediocampista defensivo|Mediocampista central,Bueno,Ulrich Taffertshofer
FC Ingolstadt 04 ,Germany,Defensa central|Mediocampista defensivo|Mediocampista central,Bueno,Tobias Schröck
Piast Gliwice ,Poland,Defensa lateral|Mediocampista lateral,Bueno,Martin Konczkowski
FC St. Pauli ,Germany,Mediocampista defensivo|Mediocampista central,Bueno,Rico Benatelli
DSC Arminia Bielefeld ,Germany,Defensa lateral|Mediocampista defensivo,Bueno,Tom Schütz
Karlsruher SC ,Germany,Mediocampista lateral|Mediocampista central,Bueno,Manuel Stiefler
KV Mechelen ,Trinidad & Tobago,Defensa lateral|Defensa central,Bueno,Sheldon Bateau
Marítimo ,Brazil,Mediocampista lateral|Mediocampista ofensivo,Bueno,Jhon Cley
Derby County ,England,Defensa central|Mediocampista defensivo,Bueno,George Evans
Royal Excel Mouscron ,Montenegro,Mediocampista central|Mediocampista ofensivo,Bueno,Marko Bakic
CD Numancia ,Spain,Delantero,Bueno,Higinio
Doncaster Rovers ,England,Defensa lateral (lateral derecha),Bueno,Reece James
Wigan Athletic ,England,Mediocampista lateral|Mediocampista ofensivo|Extremo (Extremo derecho),Bueno,Jamal Lowe
Slask Wroclaw ,Spain,Defensa central,Bueno,Israel Puerto
Derby County ,Netherlands,Portero,Bueno,Kelle Roos
Paris FC ,Algeria,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,Julien Lopez
Hibernian ,Australia,Delantero|Mediocampista lateral,Bueno,Martin Boyle
Lecce ,Italy,Defensa central,Bueno,Biagio Meccariello
SD Ponferradina ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Pablo Valcarce
Henan Jianye FC ,Cameroon,Delantero|Delantero central,Bueno,Franck Ohandza
Gangwon FC ,Korea Republic,Mediocampista defensivo|Mediocampista central,Bueno,Han Kook Young
Wisla Kraków ,Kazakhstan,Mediocampista defensivo|Mediocampista central,Bueno,Georgiy Zhukov
RC Deportivo ,Spain,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Salva Ruíz
Clubul Sportiv Gaz Metan Media? ,Comoros,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho),Bueno,Nasser Chamed
Brentford ,Denmark,Delantero|Mediocampista ofensivo|Extremo (Extremo izquierdo),Bueno,Emiliano Marcondes
Salerno ,Italy,Mediocampista central,Bueno,Leonardo Capezzi
Salerno ,Italy,Defensa central,Bueno,Marco Migliorini
Castellammare di Stabia ,Ghana,Mediocampista defensivo|Mediocampista central,Bueno,Bright Addae
Wigan Athletic ,Scotland,Mediocampista central|Mediocampista ofensivo,Bueno,Lewis MacLeod
Bayer 04 Leverkusen ,Germany,Portero,Bueno,Niklas Lomb
KAA Gent ,Belgium,Defensa lateral (lateral derecha)|Defensa central,Bueno,Bruno Godeau
FK Austria Wien ,Austria,Portero,Bueno,Ivan Lucic
Al Ahli ,Saudi Arabia,Defensa central,Bueno,Mohammed Al Fatil
Rio Ave FC ,Portugal,Delantero,Bueno,Bruno Moreira
1. FC Union Berlin ,Denmark,Portero,Bueno,Jakob Busk
Motherwell ,Scotland,Defensa lateral|Defensa central,Bueno,Declan Gallagher
Club León ,Mexico,Defensa central,Bueno,Miguel Herrera
Trabzonspor ,Turkey,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Bilal Basaçikoglu
LA Galaxy ,United States,Defensa central,Bueno,Daniel Steres
Sheffield Wednesday ,Netherlands,Mediocampista defensivo|Mediocampista central,Bueno,Joey Pelupessy
Pogon Szczecin ,Greece,Defensa central,Bueno,Konstantinos Triantafyllopoulos
Orlando City Soccer Club ,Brazil,Defensa central,Bueno,Antônio Carlos
Denizlispor ,Mali,Mediocampista lateral|Extremo (Extremo derecho),Bueno,Hadi Sacko
Livorno ,Italy,Extremo (Extremo derecho),Bueno,Manuel Marras
PEC Zwolle ,Netherlands,Defensa lateral (lateral derecha)|Defensa central,Bueno,Bram van Polen
FC St. Pauli ,Germany,Defensa lateral|Defensa central,Bueno,Philipp Ziereis
Club Alianza Lima ,Venezuela,Defensa lateral (lateral derecha)|Defensa central,Bueno,Rubert Quijada
Al Hilal ,Saudi Arabia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Hattan Bahebri
Al Nassr ,Saudi Arabia,Defensa central,Bueno,Omar Hawsawi
MKE Ankaragücü ,Poland,Mediocampista defensivo,Bueno,Daniel Lukasik
SC Heerenveen ,Poland,Portero,Bueno,Filip Bednarek
Sheffield Wednesday ,Wales,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),Bueno,Morgan Fox
AJ Auxerre ,France,Mediocampista central|Mediocampista ofensivo,Bueno,Axel Ngando
D.C. United ,France,Defensa central,Bueno,Frédéric Brillant
Sporting Kansas City ,Croatia,Defensa central,Bueno,Roberto Puncec
Heracles Almelo ,Netherlands,Defensa central,Bueno,Robin Pröpper
Suwon Samsung Bluewings ,Korea Republic,Mediocampista defensivo|Mediocampista central,Bueno,Choi Sung Geun
Cittadella ,Italy,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Bueno,Simone Branca
Club Atlético Aldosivi ,Argentina,Delantero|Mediocampista lateral,Bueno,Federico Andrada
Jeonbuk Hyundai Motors ,South Africa,Delantero,Bueno,Lars Veldwijk
Hammarby IF ,Sweden,Defensa lateral,Bueno,Simon Sandberg
Odense Boldklub ,Denmark,Defensa central,Bueno,Kasper Larsen
Club Deportivo Jorge Wilstermann ,Argentina,Defensa lateral|Mediocampista lateral,Bueno,Esteban Orfano
VfL Wolfsburg ,Brazil,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Paulo Otávio
Luton Town ,England,Mediocampista defensivo|Mediocampista central,Bueno,Pelly-Ruddock Mpanzu
Blackburn Rovers ,England,Defensa lateral (lateral derecha),Bueno,Amari'i Bell
Independiente Medellín ,Colombia,Defensa central,Bueno,Hernán Pertuz
New York Red Bulls ,United States,Portero,Bueno,Ryan Meara
Holstein Kiel ,Germany,Defensa central,Bueno,Stefan Thesker
Moreirense FC ,Argentina,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Patricio Rodríguez
Preston North End ,England,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,Bueno,Brad Potts
Club Atlético Huracán ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Adrián Calello
Heart of Midlothian ,Scotland,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Jamie Walker
Al Fateh ,Ukraine,Portero,Bueno,Maksym Koval
Slask Wroclaw ,Slovakia,Portero,Bueno,Matúš Putnocky
Sparta Rotterdam ,Israel,Portero,Bueno,Ariel Harush
US Orléans Loiret Football ,Senegal,Defensa central|Mediocampista defensivo|Mediocampista central,Bueno,Joseph Lopy
Kayserispor ,Turkey,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Cenk Sahin
Huddersfield Town ,England,Defensa lateral (lateral derecha),Bueno,Harry Toffolo
Belenenses ,Brazil,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Dieguinho
Albacete BP ,Azerbaijan,Mediocampista defensivo|Mediocampista central,Bueno,Eddy Silvestre
FC København ,Denmark,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Nicolaj Thomsen
Antalyaspor ,Turkey,Portero,Bueno,Ferhat Kaplan
Asocia?ia Fotbal Club Astra Giurgiu ,Portugal,Defensa lateral,Bueno,David Bruno
Middlesbrough ,North Macedonia,Portero,Bueno,Dejan Stojanovic
Salford City ,Portugal,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Bruno Andrade
Sporting Kansas City ,Portugal,Defensa lateral (lateral derecha),Bueno,Luís Martins
Hull City ,England,Defensa central,Bueno,Angus MacDonald
SV Wehen Wiesbaden ,Germany,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),Bueno,Moritz Kuhn
UD Almería ,Spain,Portero,Bueno,Fernando
Ascoli ,Guinea,Mediocampista defensivo|Mediocampista central,Bueno,Baïssama Sankoh
Real Racing Club ,Spain,Delantero,Bueno,Guillermo
HJK Helsinki ,North Macedonia,Mediocampista ofensivo|Extremo (Extremo izquierdo),Bueno,Ferhan Hasani
Wigan Athletic ,Scotland,Defensa lateral (lateral derecha)|Defensa central|Mediocampista lateral (Mediocampista derecho),Bueno,Kal Naismith
Queens Park Rangers ,England,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),Bueno,Todd Kane
FC Zürich ,Switzerland,Portero,Bueno,Yanick Brecher
Fotbal Club Viitorul Constan?a ,Romania,Defensa lateral|Defensa central,Bueno,Sebastian Mladen
Chemnitzer FC ,Austria,Delantero,Bueno,Philipp Hosiner
KSV Cercle Brugge ,Belgium,Delantero,Bueno,Dylan De Belder
Everton ,Curacao,Defensa lateral,Bueno,Cuco Martina
VfL Bochum 1848 ,Germany,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Tom Weilandt
Kilmarnock ,Scotland,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo|Extremo (Extremo izquierdo),Bueno,Rory McKenzie
RC Deportivo ,Spain,Defensa lateral,Bueno,David Simón
Charlton Athletic ,Israel,Delantero,Bueno,Tomer Hemed
AJ Auxerre ,France,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Michaël Barreto
Gençlerbirligi SK ,Guinea,Mediocampista central|Mediocampista ofensivo,Bueno,Sadio Diallo
FC Emmen ,Netherlands,Mediocampista ofensivo,Bueno,Michael de Leeuw
Reading ,Kenya,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,Ayub Timbe Masika
Deportivo Toluca ,Mexico,Mediocampista defensivo,Bueno,Kevin Escamilla
Wisla Plock ,Poland,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,Bueno,Rafal Wolski
Piast Gliwice ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Gerard Badía
KV Mechelen ,France,Mediocampista lateral (Mediocampista derecho),Bueno,Clément Tainmont
Sparta Rotterdam ,Netherlands,Defensa central,Bueno,Jurgen Mattheij
FK Austria Wien ,Austria,Delantero|Mediocampista lateral|Mediocampista ofensivo,Bueno,Maximilian Sax
Unión La Calera ,Chile,Mediocampista defensivo|Mediocampista central,Bueno,Felipe Seymour
Hull City ,Spain,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,Bueno,Jon Toral
Rosenborg BK ,Norway,Defensa central,Bueno,Gustav Valsvik
FC Augsburg ,Austria,Lateral (lateral izquierdo)|Defensa lateral|Mediocampista lateral|Extremo (Extremo derecho),Bueno,Georg Teigl
Melbourne City ,Australia,Mediocampista defensivo|Mediocampista central,Bueno,Joshua Brillante
FK Austria Wien ,Australia,Mediocampista defensivo|Mediocampista central,Bueno,James Jeggo
CD Numancia ,Spain,Defensa lateral (lateral derecha),Bueno,Héctor
SV Sandhausen ,Germany,Defensa central,Bueno,Tim Kister
Jeonbuk Hyundai Motors ,Korea Republic,Mediocampista lateral,Bueno,Han Kyo Won
Club Atlas ,Mexico,Delantero,Bueno,Édson Rivera
Beijing Sinobo Guoan FC ,China PR,Mediocampista defensivo|Mediocampista central,Bueno,Li Ke
Gangwon FC ,Korea Republic,Defensa central,Bueno,Kim Oh Gyu
Lokomotiv Moscow ,Russia,Portero,Bueno,Anton Kochenkov
CD Mirandés ,Spain,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Alvaro Rey
Cosenza ,Portugal,Defensa central,Bueno,Aníbal Capela
Seongnam FC ,Korea Republic,Mediocampista central|Mediocampista ofensivo,Bueno,Im Seon Yeong
Incheon United FC ,Korea Republic,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Kim Ho Nam
Vålerenga Fotball ,Iceland,Delantero|Delantero central,Bueno,Matthías Vilhjálmsson
Sheffield Wednesday ,England,Defensa lateral|Defensa lateral (lateral derecha),Bueno,Moses Odubajo
Djurgårdens IF ,Sweden,Delantero|Delantero central,Bueno,Karl Holmberg
BK Häcken ,Iraq,Delantero|Extremo (Extremo derecho),Bueno,Ahmed Yasin
Racing Club de Lens ,Mali,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),Bueno,Massadio Haïdara
Viking FK ,Norway,Delantero|Extremo (Extremo izquierdo),Bueno,Veton Berisha
FC Cincinnati ,France,Defensa lateral|Defensa lateral (lateral derecha),Bueno,Mathieu Deplagne
Santa Clara ,Senegal,Defensa lateral,Bueno,Pierre Sagna
Heart of Midlothian ,Northern Ireland,Delantero,Bueno,Liam Boyce
DSC Arminia Bielefeld ,Spain,Defensa central,Bueno,Álex Pérez
Zaglebie Lubin ,Poland,Defensa lateral|Defensa central,Bueno,Bartosz Kopacz
Pordenone ,Italy,Mediocampista central|Mediocampista ofensivo,Bueno,Luca Tremolada
Asocia?ia Fotbal Club Astra Giurgiu ,Romania,Mediocampista lateral (Mediocampista derecho)|Mediocampista central,Bueno,Mihai Radu?
Cardiff City ,England,Defensa central,Bueno,Curtis Nelson
Reading ,England,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),Bueno,Jordan Obita
Cremona ,Italy,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista lateral,Bueno,Alessandro Crescenzi
Rotherham United ,Scotland,Defensa central,Bueno,Clark Robertson
Bristol Rovers ,England,Delantero,Bueno,Jonson Clarke-Harris
SK Brann ,Norway,Mediocampista central,Bueno,Fredrik Haugen
