Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Animation, Action, Fantasy",ja,2007-08-04,7.2,destroyed; once; unguarded,Naruto Shippuden the Movie
"Comedy, Family, Animation",en,2021-02-10,7.0,can’t; tom; high-class,Tom & Jerry
"Adventure, History, Drama",en,2022-02-10,7.0,left; survive; 1909,Against the Ice
"Animation, Comedy",es,2021-08-12,8.1,rescue; children; event,An Egg Rescue
"Adventure, Fantasy, Family",en,2005-11-16,7.8,glory; water; name,Harry Potter and the Goblet of Fire
"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",ja,2021-02-11,8.1,under; guardians; reunite!,Pretty Guardian Sailor Moon Eternal The Movie Part 2
"Horror, Thriller",en,2021-07-29,4.8,demons; supernatural; terrifying,Demonic
"Animation, Family",en,2021-11-24,8.1,pacific; keep; frustrated,Far From the Tree
"Horror, Thriller, Adventure, Mystery",en,2020-07-09,5.1,pack; uncharted; tensions,Black Water: Abyss
"Animation, Drama, Romance",ja,2020-12-11,6.7,work; course; recognize,"Yes, No, or Maybe Half?"
"Family, Animation, Fantasy, Adventure, Comedy",en,2020-08-14,7.6,beyond; suddenly; snatched,The SpongeBob Movie: Sponge on the Run
"Action, Adventure, Animation, Science Fiction",en,2018-12-06,8.4,transported; uses; juggling,Spider-Man: Into the Spider-Verse
"Adventure, Fantasy",en,2004-05-31,8.0,harry; fearsome; walls,Harry Potter and the Prisoner of Azkaban
"Crime, Action, Thriller",en,2021-03-03,7.1,forces; score; streets,The Vault
"Science Fiction, Adventure, Comedy",en,2022-03-09,6.0,adam; time-traveling; pilot,The Adam Project
"Action, Adventure, Comedy",en,2016-02-09,7.6,forces; former; deadpool,Deadpool
Western,en,2021-10-22,6.7,buck; outlaw; sprung,The Harder They Fall
"Animation, Comedy, Family",en,2001-11-01,7.8,children; threaten; mike,"Monsters, Inc."
"Adventure, Animation, Family, Fantasy",en,2021-02-09,7.1,"spectacular; ""vaca""; hero",Ainbo: Spirit of the Amazon
"Comedy, Drama, Science Fiction",en,2021-12-07,7.2,approaching; earth; planet,Don't Look Up
"Animation, Adventure, Comedy, Family",en,2017-06-15,6.8,racers; game; #95,Cars 3
"Fantasy, Action, Adventure",en,2007-05-01,6.3,triangle; caught; also,Spider-Man 3
"Western, Action, Thriller",en,2021-12-03,6.4,outpost; off; reclaim,Last Shoot Out
Horror,en,2019-07-21,5.4,entity; desolate; attempting,Sator
