Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Animation, Action, Crime",en,2022-02-07,6.2,powerful; crosshairs; batwoman,Catwoman: Hunted
"Drama, History, War",en,2016-10-07,8.2,doss; american; kill,Hacksaw Ridge
Action,zh,2021-05-06,7.3,again; ring; opponent,Crazy Fist
"Adventure, Fantasy",en,2001-11-16,7.9,witchcraft; parents'; whole,Harry Potter and the Philosopher's Stone
"Science Fiction, Action, Adventure",en,2012-04-25,7.7,security; s.h.i.e.l.d.; global,The Avengers
"Horror, Fantasy, Mystery",en,2021-06-15,6.1,taken; soldiers; strange,Dragon Fury
"Horror, Drama",es,2021-07-29,5.1,strange; stay; looking,Tarumama
"Action, Adventure, Fantasy, Science Fiction",en,2016-10-25,7.4,evil; arrogant; career,Doctor Strange
"Horror, Thriller",en,2021-10-14,6.8,reign; residents; down,Halloween Kills
Horror,en,2022-02-10,5.6,alive; carries; considered,The Exorcism of God
"Action, Adventure, Science Fiction",en,2019-06-28,7.5,destruction; uncover; cause,Spider-Man: Far From Home
Documentary,en,2022-01-01,8.0,magical; beloved; film,Harry Potter 20th Anniversary: Return to Hogwarts
"Romance, Drama",en,2020-09-02,7.3,herself; struggling; complicated,After We Collided
Thriller,en,2022-02-17,5.8,desperately; incident; hometown,The Desperate Hour
"Action, Animation, Science Fiction",ja,2015-04-18,6.8,frieza.; frieza's; peaceful,Dragon Ball Z: Resurrection 'F'
"Animation, Family, Comedy",en,2021-10-28,7.1,seal; best; flips,Seal Team
"Action, Mystery, Science Fiction, Thriller",en,2009-03-19,6.1,some; events; occurred,Knowing
"Fantasy, Horror, Thriller, Drama",en,2021-10-01,7.2,witchcraft; illegal; cross,Witch Hunt
"Action, Mystery, Science Fiction, Thriller",en,2014-09-10,7.2,require; escape; erased,The Maze Runner
Horror,en,2021-03-31,6.8,heal; england; witness,The Unholy
"Action, Adventure, Thriller",ko,2019-12-19,6.6,volcano; korean; mythical,Ashfall
"Drama, Romance, Music",en,2022-02-11,5.8,musical; sister; imagination,The Sky Is Everywhere
"Romance, Drama",en,2021-09-09,6.2,troubled; forces; passion,Time Is Up
Horror,en,2021-06-30,6.5,yet; remote; exploration,The Deep House
"Animation, Action, Comedy",ja,2015-08-07,7.7,hokage; seventh; boruto's,Boruto: Naruto the Movie
"Adventure, Fantasy",en,2002-11-13,7.7,hogwarts.; writing; require,Harry Potter and the Chamber of Secrets
"Action, Science Fiction, Comedy, Family",en,2020-02-12,7.4,home; genius; best,Sonic the Hedgehog
"Family, Animation, Fantasy, Music, Comedy, Adventure",en,2017-10-27,8.2,becoming; dead; chain,Coco
Drama,fr,2017-06-21,6.0,ever.; run; sooner,Ava
"War, Drama, Action",en,2014-10-15,7.5,heart; sergeant; its,Fury
"Thriller, Horror",en,2021-08-12,7.4,taken; several; criminals,Don't Breathe 2
"Action, Comedy, Adventure",es,2021-10-01,7.8,mask; precious; subsequent,Matando Cabos 2: La Máscara del Máscara
"Action, Fantasy, Adventure",en,2020-12-03,6.8,hope; monsters; deadly,Monster Hunter
"Action, Romance, Animation",ja,2014-12-06,7.9,rescue; abducting; amidst,The Last: Naruto the Movie
"Action, Adventure, Science Fiction, Drama",en,2017-07-05,7.4,city; war; parker,Spider-Man: Homecoming
"Science Fiction, Comedy",fr,2022-02-11,5.4,2045; humans; so,Bigbug
"Fantasy, Action",en,2002-05-01,7.2,powers; spider-man; peter,Spider-Man
"Adventure, Science Fiction, Action",en,2019-04-24,8.3,universe; store; thanos',Avengers: Endgame
"Thriller, Mystery, Horror",en,2021-07-21,6.6,age; discover; –,Old
"Action, Science Fiction, Drama",en,2011-09-28,6.9,trashed; ring; contender,Real Steel
"Romance, Comedy",ko,2022-02-11,6.3,never; partners; pain,Love and Leashes
"Romance, Drama",en,2019-04-11,7.2,brooding; entering; thought,After
"Horror, Action, Thriller",en,2021-06-30,7.3,marauders; rules; harsh,The Forever Purge
"Comedy, Drama, Romance",en,2022-02-11,6.0,really; rifts; causing,Tall Girl 2
"Drama, Comedy",en,2022-02-17,8.3,attend; trip; road,Dog
"Drama, Science Fiction, Thriller",en,2007-12-12,7.2,survivor; faithfully; unable,I Am Legend
"Animation, Action, Fantasy",ja,2007-08-04,7.2,deaths; do; world.,Naruto Shippuden the Movie
"Comedy, Family, Animation",en,2021-02-10,7.0,mouse; job; high-class,Tom & Jerry
"Adventure, History, Drama",en,2022-02-10,7.0,survive; they're; denmark,Against the Ice
"Animation, Comedy",es,2021-08-12,8.1,toto; children; egg,An Egg Rescue
"Adventure, Fantasy, Family",en,2005-11-16,7.8,goblet; dragon; grasp,Harry Potter and the Goblet of Fire
"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",ja,2021-02-11,8.1,reunite!; begins; under,Pretty Guardian Sailor Moon Eternal The Movie Part 2
"Horror, Thriller",en,2021-07-29,4.8,decades-old; supernatural; mother,Demonic
"Animation, Family",en,2021-11-24,8.1,attempts; raccoon; safe,Far From the Tree
"Horror, Thriller, Adventure, Mystery",en,2020-07-09,5.1,crocodiles; levels; system,Black Water: Abyss
"Animation, Drama, Romance",ja,2020-12-11,6.7,"""the; tsuzuki's; injuring","Yes, No, or Maybe Half?"
"Family, Animation, Fantasy, Adventure, Comedy",en,2020-08-14,7.6,mission; friend; pal,The SpongeBob Movie: Sponge on the Run
"Action, Adventure, Animation, Science Fiction",en,2018-12-06,8.4,transported; student; others,Spider-Man: Into the Spider-Verse
"Adventure, Fantasy",en,2004-05-31,8.0,fun; challenges; dementors,Harry Potter and the Prisoner of Azkaban
"Crime, Action, Thriller",en,2021-03-03,7.1,master; thousands; lifetime,The Vault
"Science Fiction, Adventure, Comedy",en,2022-03-09,6.0,teams; 2022; adam,The Adam Project
"Action, Adventure, Comedy",en,2016-02-09,7.6,turned; adopts; deadpool,Deadpool
Western,en,2021-10-22,6.7,outlaw; gunning; revenge,The Harder They Fall
"Animation, Comedy, Family",en,2001-11-01,7.8,afraid; kids; earn,"Monsters, Inc."
"Adventure, Animation, Family, Fantasy",en,2021-02-09,7.1,quest; rainforest; journey,Ainbo: Spirit of the Amazon
"Comedy, Drama, Science Fiction",en,2021-12-07,7.2,warn; destroy; go,Don't Look Up
"Animation, Adventure, Comedy, Family",en,2017-06-15,6.8,legendary; sport; stage!,Cars 3
"Fantasy, Action, Adventure",en,2007-05-01,6.3,invincible; deals; crop,Spider-Man 3
"Western, Action, Thriller",en,2021-12-03,6.4,bride; husband's; husband,Last Shoot Out
Horror,en,2019-07-21,5.4,supernatural; secluded; forest,Sator
"Adventure, Action, Science Fiction",en,2010-04-28,6.8,billionaire; –; powerful,Iron Man 2
"Animation, Comedy, Fantasy, Family",en,2020-12-25,8.2,body; separates; souls-in-training,Soul
"Adventure, Action, Fantasy",en,2011-05-14,6.5,anne's; youth.; jack,Pirates of the Caribbean: On Stranger Tides
"Horror, Thriller",en,2021-02-28,5.4,government; put; extreme,Phobias
"Science Fiction, Thriller, Horror",en,2021-05-21,7.6,events; unknown; sound,A Quiet Place Part II
"Horror, Drama, Thriller",it,1972-10-14,5.7,accident; died; wealthy,What the Peeper Saw
"Action, Crime",en,2023-04-06,0.0,tenth; fast; installment,Fast & Furious 10
"Action, Crime, Drama, Thriller",en,2012-07-16,7.8,enemy; encounters; protect,The Dark Knight Rises
"Animation, Fantasy, Family",en,2021-11-26,7.6,go; swap; quite,Trolls Holiday in Harmony
"Action, Adventure, Fantasy",en,2016-03-23,5.9,threat; formidable; really,Batman v Superman: Dawn of Justice
"Thriller, Horror",en,2021-09-01,7.2,beth; daughter; test,Motherly
"Action, Crime, Thriller",en,2021-03-18,8.2,break; behind; mansell,Nobody
"Animation, Action, Adventure, Fantasy",ja,2018-08-03,8.0,currently; go; iron,My Hero Academia: Two Heroes
"Adventure, Fantasy",en,2009-07-07,7.7,colleague; approaching.; friend,Harry Potter and the Half-Blood Prince
"Comedy, Romance",en,2022-01-06,5.3,ensures; furious; insists,Book of Love
"Action, Science Fiction, Thriller",en,2021-08-26,5.0,wilderness; primitive!; remote,Jurassic Hunt
Drama,en,2021-12-25,7.2,nfl; true; went,American Underdog
"Drama, Action, Crime, Thriller",en,2008-07-14,8.5,raises; known; stakes,The Dark Knight
"Animation, Action, Adventure, Mystery",ja,2021-02-24,7.8,nervous; enough; yuta,Jujutsu Kaisen 0
"Action, Crime, Drama, Thriller",en,2020-07-02,5.7,black; assassin; forced,Ava
"Romance, Drama",es,2010-12-03,7.8,sense; impossible; discover,Three Steps Above Heaven
"Comedy, Drama",ko,2021-08-11,7.1,whole; move; down,Sinkhole
"Action, Thriller",en,2010-05-22,7.5,boyka; tournament; fight,Undisputed III: Redemption
"Animation, Adventure, Family, Comedy",en,1995-10-30,8.0,losing; circumstances; brings,Toy Story
"Family, Fantasy, Adventure, Comedy, Horror",en,2020-10-25,6.5,precisely; some; demopolis.,Roald Dahl's The Witches
Comedy,es,2021-12-25,3.5,show.; travel; last,El Paseo 6
"Horror, Drama",en,2021-04-30,5.7,dead; solace; mother,Separation
"Animation, Science Fiction, Action",ja,2022-04-22,0.0,people; ribbon; organization,Dragon Ball Super: Super Hero
Romance,en,2022-08-25,0.0,different; than; discover,After Ever Happy
"Drama, Thriller, War",en,2009-01-22,7.1,sam; helicopter; sam’s,Brothers
"Animation, Comedy, Fantasy, Adventure, Family",en,2001-05-18,7.7,named; unlikely; smelly),Shrek
"Action, Comedy, Documentary",en,2022-02-01,7.1,dangerous; gang; groin,Jackass Forever
"Adventure, Family, Animation, Action, Comedy",en,2014-10-24,7.8,inflatable; team; develops,Big Hero 6
"Animation, Comedy, Fantasy",en,2021-04-02,7.5,playtime; tinkles; monster,Monster Pets: A Hotel Transylvania Short
"Romance, Comedy",es,2015-03-03,6.2,better; unemployment; spanish,Off Course
"Action, Adventure, Fantasy",en,2014-12-10,7.3,hands; elves; desolation,The Hobbit: The Battle of the Five Armies
"Action, Adventure",ru,2021-04-01,6.8,these; nature; igor,Major Grom: Plague Doctor
"Animation, Family",en,2021-01-13,7.1,baba; pet; clutches,Monster Family 2
"Action, Crime, Thriller",en,2021-07-14,6.4,professional; unleashed; go,Gunpowder Milkshake
"Crime, Horror",ja,1986-01-18,4.0,abuses; physically; apartment,Beautiful Sisters: Flesh Slave
"Action, Drama, Crime",en,2021-01-22,6.7,vera; director:; tom,Narco Sub
"Adventure, Fantasy, Mystery",en,2007-06-28,7.7,magic; hogwarts.; dark,Harry Potter and the Order of the Phoenix
"Crime, Thriller",en,2015-09-09,6.9,siblings; mark; ronnie,Legend
"Animation, Comedy, Mystery, Family, Fantasy",en,2021-09-14,8.2,strange; cicada; nowhere,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
"TV Movie, Animation, Comedy, Family, Drama",en,2021-08-13,7.0,"""i; happily-ever-after; ruin",Descendants: The Royal Wedding
"Family, Animation, Adventure, Comedy, Fantasy",en,2019-11-20,7.3,mystery; forest; learn,Frozen II
"Horror, Action",en,2021-08-13,7.5,flooded; house; vacation,Swim
"Drama, Science Fiction",zh,2021-08-27,6.6,getting; various; earth’s,Mutation on Mars
"Science Fiction, Thriller, Mystery",en,2021-09-03,5.5,future; bring; state-of-the-art,Zone 414
"Fantasy, Adventure",en,2011-07-07,8.1,magical; things; harry,Harry Potter and the Deathly Hallows: Part 2
"Action, Adventure, Science Fiction",en,2015-04-22,7.3,heroes; peacekeeping; global,Avengers: Age of Ultron
"Action, Adventure, Fantasy, Science Fiction",en,2017-10-24,7.6,asgard; threat; end,Thor: Ragnarok
"Horror, Fantasy",en,2019-09-04,6.9,grown; away; devastating,It Chapter Two
"Family, Animation, Drama",en,1994-06-23,8.3,iron; uncle; paw,The Lion King
"Drama, History",en,2021-11-18,8.0,legendary; how; richard,King Richard
"Thriller, Horror, Mystery",en,2021-10-21,7.5,design; idol; fashion,Last Night in Soho
"Action, Fantasy",en,1992-06-19,6.9,businessman; calling; transforms,Batman Returns
"Adventure, Fantasy, Drama, Romance",en,2010-06-23,6.2,edward; werewolf.; approaching,The Twilight Saga: Eclipse
"Crime, Drama, Thriller",en,2021-09-03,6.4,covering; wife; murder,Wild Indian
Comedy,en,2012-03-01,6.8,control; word; seniors,Project X
Action,en,2021-08-19,6.6,like; revenge.; child,The Protégé
"Crime, Thriller, Drama, Action",en,2021-11-05,5.9,ida; sentence; job,Ida Red
"Horror, Thriller",en,2013-01-14,5.6,austere; moves; hides,The Haunting of Helena
"Action, Adventure, Crime",zh,2020-09-30,6.3,last; organization; hope,Vanguard
"Adventure, Fantasy, Action",en,2003-07-09,7.8,pirate; pillaging; girl's,Pirates of the Caribbean: The Curse of the Black Pearl
"Animation, Comedy, Family",en,2021-07-07,7.5,heroes.; yet:; asgard,"The Simpsons: The Good, the Bart, and the Loki"
"Action, Thriller, Crime",en,2021-01-15,7.0,suddenly; crossing; reluctant,The Marksman
