timestamp,id,evento,usuarie,estado,texto_ingresado,respuesta,nivel
1655489970.335661,18,intento,usuarieUWU,error,Lago Falkner,Lago Moquehue,Facil
1655489970.912057,18,intento,usuarieUWU,error,Lago Strobel,Lago Nahuel Huapi,Facil
1655489971.623639,18,intento,usuarieUWU,error,Lago Argentino,Lago Buenos Aires,Facil
1655489972.063612,18,intento,usuarieUWU,error,Lago Correntoso,Lago Traful,Facil
1655489972.063612,18,fin,usuarieUWU,finalizado,-,-,Facil
1655490135.591523,19,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655490136.053244,19,intento,usuarieUWU,ok,Lago Epecuén,Lago Epecuén,Facil
1655490136.333042,19,intento,usuarieUWU,ok,Lago Cardiel,Lago Cardiel,Facil
1655490136.604862,19,intento,usuarieUWU,error,Lago Fagnano,Lago Chepelmut,Facil
1655490137.1096,19,intento,usuarieUWU,error,Lago Traful,Lago Burmeister,Facil
1655490137.837673,19,intento,usuarieUWU,error,Lago Gutiérrez,Lago Menéndez,Facil
1655490137.837673,19,fin,usuarieUWU,finalizado,-,-,Facil
1655490145.783185,20,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655490146.085239,20,intento,usuarieUWU,error,Lago Tromen,Lago Epecuén,Facil
1655490146.333716,20,intento,usuarieUWU,error,Lago Tromen,Lago Azara,Facil
1655490146.493005,20,intento,usuarieUWU,ok,Lago Quiroga Chico,Lago Quiroga Chico,Facil
1655490146.637583,20,intento,usuarieUWU,ok,Lago Aluminé,Lago Aluminé,Facil
1655490146.942022,20,intento,usuarieUWU,error,Lago Ghío,Lago Pueyrredón,Facil
1655490146.942022,20,fin,usuarieUWU,finalizado,-,-,Facil
1655490148.902199,21,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655490149.286288,21,intento,usuarieUWU,error,Lago Chepelmut,Lago Currhué,Facil
1655490149.426319,21,intento,usuarieUWU,error,Lago San Martín,Lago La Plata,Facil
1655490149.750155,21,intento,usuarieUWU,error,Lago Chepelmut,Lago San Martín,Facil
1655490150.222177,21,intento,usuarieUWU,error,Lago Yehuin,Lago Cardiel,Facil
1655490150.72577,21,intento,usuarieUWU,error,Lago Mascardi,Lago Epuyén,Facil
1655490150.72577,21,fin,usuarieUWU,finalizado,-,-,Facil
1655490242.1301,22,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655490242.320461,22,intento,usuarieUWU,error,Lago Fontana,Lago La Plata,Facil
1655490242.488483,22,intento,usuarieUWU,error,Lago Quiroga Chico,Lago Río Bueno,Facil
1655490242.792682,22,intento,usuarieUWU,ok,Lago Rivadavia,Lago Rivadavia,Facil
1655490243.129213,22,intento,usuarieUWU,error,Lago Musters,Lago San Martín,Facil
