,TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
10918,1. FC Magdeburg ,Germany,Mediocampista defensivo|Mediocampista central,24,Bueno,Björn Rother
10919,FC Carl Zeiss Jena ,Germany,Defensa central,24,Bueno,Dominic Volkmer
10920,Pogon Szczecin ,Poland,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,21,Bueno,Sebastian Kowalczyk
10921,VVV-Venlo ,United States,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),22,Bueno,Haji Wright
10922,1. FC Kaiserslautern ,Germany,Delantero,26,Bueno,Lucas Röser
10923,Karlsruher SC ,Germany,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),29,Bueno,Martin Röser
10924,Hallescher FC ,Germany,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),28,Bueno,Pascal Sohm
10925,SV Wehen Wiesbaden ,Germany,Mediocampista defensivo|Mediocampista central,24,Bueno,Jeremias Lorch
10926,1. FC Kaiserslautern ,Germany,Defensa lateral (lateral derecha),27,Bueno,Alexander Nandzik
10927,Lech Poznan ,Poland,Defensa lateral (lateral derecha)|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),21,Bueno,Tymoteusz Puchacz
10928,FSV Zwickau ,Germany,Defensa central|Mediocampista defensivo|Mediocampista central,30,Bueno,Davy Frick
10929,Hallescher FC ,Germany,Delantero|Mediocampista ofensivo,26,Bueno,Jonas Nietfeld
10930,1. FC Magdeburg ,Germany,Mediocampista defensivo|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,24,Bueno,Rico Preißinger
10931,FC Hansa Rostock ,Germany,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),29,Bueno,Nico Granatowski
10932,Daegu FC ,Korea Republic,Delantero|Mediocampista ofensivo,22,Bueno,Lee Jin Hyun
10933,Jeonbuk Hyundai Motors ,Korea Republic,Portero,22,Bueno,Song Bum Keun
10934,Eintracht Braunschweig ,Germany,Mediocampista defensivo|Mediocampista central,26,Bueno,Danilo Wiebe
10935,FC Nantes ,France,Defensa central,21,Muy bueno,Thomas Basila
10936,SG Dynamo Dresden ,Germany,Portero,27,Bueno,Tim Boss
10937,Portsmouth ,England,Defensa central,26,Bueno,Sean Raggett
10938,D. Alavés ,Spain,Defensa central,22,Bueno,Tachi
10939,Jeju United FC ,Korea Republic,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),26,Bueno,Lim Chan Wool
10940,FC Hansa Rostock ,Denmark,Mediocampista central|Mediocampista ofensivo,20,Bueno,Nikolas Nartey
10941,Trapani ,Senegal,Mediocampista central,21,Bueno,Mamadou Coulibaly
10942,New York Red Bulls ,France,Defensa lateral (lateral derecha),23,Bueno,Jason Pendant
10943,FK Haugesund ,Norway,Defensa central,23,Bueno,Fredrik P. Knudsen
10944,Stabæk Fotball ,Norway,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),21,Muy bueno,Ola Brynhildsen
10945,Ajax ,Netherlands,Defensa lateral (lateral derecha)|Extremo (Extremo izquierdo),20,Bueno,Juan Castillo
10946,SC Heerenveen ,Vietnam,Defensa lateral (lateral derecha),21,Bueno,Doàn Van Hâu
10947,Shandong Luneng TaiShan FC ,China PR,Defensa central|Mediocampista defensivo|Mediocampista central,25,Bueno,Liu Junshuai
10948,Coventry City ,England,Mediocampista central|Mediocampista ofensivo,22,Bueno,Callum O'Hare
10949,Suwon Samsung Bluewings ,Bosnia & Herzegovina,Delantero,29,Bueno,Sulejman Krpic
10950,Walsall ,England,Defensa central,25,Bueno,Dan Scarr
10951,Vålerenga Fotball ,Norway,Mediocampista lateral|Extremo (Extremo derecho),22,Bueno,Aron Dønnum
10952,Vegalta Sendai ,Japan,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,26,Bueno,Ryohei Michibuchi
10953,TSV Hartberg ,Austria,Mediocampista defensivo|Mediocampista central,23,Bueno,David Cancola
10954,Waasland-Beveren ,Belgium,Mediocampista central|Mediocampista ofensivo,22,Bueno,Matthias Verreth
10955,Shimizu S-Pulse ,Japan,Mediocampista defensivo|Mediocampista central,29,Bueno,Mitsunari Musaka
10956,Rotherham United ,United States,Defensa lateral,22,Bueno,Matt Olosunde
10957,Girona FC ,Uruguay,Defensa lateral (lateral derecha)|Defensa central,21,Bueno,Santiago Bueno
10958,Lechia Gdansk ,Slovakia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),26,Bueno,Jaroslav Mihalík
10959,Desportivo das Aves ,Brazil,Mediocampista defensivo|Mediocampista central,25,Bueno,Luiz Fernando
10960,FC Barcelona ,Spain,Defensa central,20,Bueno,Jorge Cuenca
10961,Korona Kielce ,Bosnia & Herzegovina,Mediocampista defensivo|Mediocampista central,28,Bueno,Ognjen Gnjatic
10962,Gamba Osaka ,Japan,Mediocampista defensivo|Mediocampista central,26,Bueno,Shinya Yajima
10963,Shimizu S-Pulse ,Japan,Portero,30,Bueno,Takuo Okubo
10964,Slask Wroclaw ,Spain,Delantero,24,Bueno,Erik Expósito
10965,Barnsley ,England,Defensa lateral,20,Bueno,Jordan Williams
10966,Minnesota United FC ,United States,Defensa central,29,Bueno,Brent Kallman
10967,Chamois Niortais Football Club ,France,Defensa central|Mediocampista defensivo,22,Bueno,Bryan Passi
10968,IK Sirius ,Sweden,Mediocampista defensivo|Mediocampista central,34,Bueno,Niklas Thor
10969,Sint-Truidense VV ,Belgium,Defensa lateral (lateral derecha)|Defensa central|Mediocampista lateral (Mediocampista derecho),22,Bueno,Thibault De Smet
10970,Nîmes Olympique ,Togo,Delantero,19,Bueno,Kévin Denkey
10971,Millonarios FC ,Colombia,Defensa lateral,24,Bueno,Felipe Román
10972,Houston Dynamo ,Denmark,Mediocampista lateral,25,Bueno,Niko Hansen
10973,Peterborough United ,England,Defensa central|Mediocampista central,22,Bueno,Josh Knight
10974,Chamois Niortais Football Club ,France,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),24,Bueno,Antoine Leautey
10975,Alianza Petrolera ,Colombia,Mediocampista defensivo,27,Bueno,Freddy Flórez
10976,Alianza Petrolera ,Colombia,Mediocampista defensivo,26,Bueno,Harlin Suárez
10977,Colorado Rapids ,United States,Defensa lateral|Defensa central,24,Bueno,Kortne Ford
10978,Gil Vicente FC ,Brazil,Portero,25,Bueno,Wellington
10979,Western Sydney Wanderers ,Australia,Mediocampista defensivo|Mediocampista central,22,Bueno,Keanu Baccus
10980,FC Midtjylland ,Denmark,Delantero|Mediocampista ofensivo|Extremo (Extremo derecho),22,Bueno,Anders Dreyer
10981,FC Midtjylland ,Iceland,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),22,Bueno,Mikael Anderson
10982,Patriotas Boyacá FC ,Colombia,Mediocampista lateral (Mediocampista derecho)|Mediocampista central,26,Bueno,Felipe Ávila
10983,Gallos Blancos de Querétaro ,Mexico,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),24,Bueno,Jordi Cortizo
10984,R. Valladolid CF ,Spain,Mediocampista defensivo|Mediocampista central,23,Bueno,Kike Pérez
10985,Celtic ,Poland,Delantero,21,Bueno,Patryk Klimala
10986,Standard de Liège ,Belgium,Defensa lateral (lateral derecha)|Defensa central,23,Bueno,Dimitri Lavalée
10987,1. FC Magdeburg ,Germany,Defensa central,23,Bueno,Brian Koglin
10988,La Berrichonne de Châteauroux ,Ivory Coast,Defensa lateral (lateral derecha),23,Bueno,Christopher Operi
10989,FSV Zwickau ,Germany,Delantero,23,Bueno,Elias Huth
10990,Portland Timbers ,Argentina,Delantero|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,22,Bueno,Tomás Conechny
10991,Stoke City ,Belgium,Delantero|Mediocampista lateral (Mediocampista derecho),22,Bueno,Julien Ngoy
10992,Houston Dynamo ,Venezuela,Delantero,23,Bueno,Ronaldo Peña
10993,Club Atlético Tigre ,Argentina,Defensa lateral (lateral derecha),23,Bueno,Diego Sosa
10994,IF Elfsborg ,Sweden,Mediocampista central,22,Bueno,Simon Olsson
10995,Bradford City ,England,Defensa lateral (lateral derecha)|Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),24,Bueno,Connor Wood
10996,Unión La Calera ,Chile,Defensa lateral|Mediocampista lateral,24,Bueno,Rodrigo González
10997,La Spezia ,Italy,Defensa lateral (lateral derecha)|Defensa central,22,Bueno,Riccardo Marchizza
10998,Fluminense ,Brazil,Delantero|Mediocampista ofensivo,28,Bueno,Nito Carbelho
10999,Sevilla FC ,Spain,Portero,23,Bueno,Javi Díaz
11000,FK Austria Wien ,Austria,Defensa lateral (lateral derecha)|Defensa central,21,Bueno,Alexandar Borkovic
11001,Club Atlético Huracán ,Ermenia,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),24,Bueno,Norberto Briasco
11002,Cittadella ,Italy,Mediocampista central|Mediocampista ofensivo,23,Bueno,Christian D'Urso
11003,La Berrichonne de Châteauroux ,France,Delantero|Mediocampista lateral,22,Bueno,Guevin Tormin
11004,FC Nordsjælland ,Ghana,Defensa central,22,Bueno,Abdul Mumin
11005,LAFC ,Mexico,Portero,25,Bueno,Pablo Sisniega
11006,Villarreal CF ,Spain,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),21,Bueno,Rafa Mújica
11007,Holstein Kiel ,Korea Republic,Defensa lateral (lateral derecha),25,Bueno,Seo Young Jae
11008,Fotbal Club FCSB ,Romania,Mediocampista defensivo|Mediocampista central,22,Bueno,Razvan Oaida
11009,Wigan Athletic ,England,Defensa lateral (lateral derecha),22,Bueno,Tom Pearce
11010,Ascoli ,Italy,Portero,24,Bueno,Gabriele Marchegiani
11011,Cracovia ,Poland,Defensa lateral (lateral derecha),21,Bueno,Kamil Pestka
11012,Chiavari ,Italy,Delantero,25,Bueno,Claudio Morra
11013,FC Midtjylland ,Denmark,Defensa central,23,Bueno,Rasmus Nicolaisen
11014,Chemnitzer FC ,Germany,Defensa lateral (lateral derecha)|Defensa central,24,Bueno,Sören Reddemann
11015,Castellammare di Stabia ,Italy,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),26,Bueno,Luigi Canotto
11016,Odense Boldklub ,Uganda,Mediocampista central,22,Bueno,Moses Opondo
11017,Minnesota United FC ,Canada,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),25,Bueno,Raheem Edwards
11018,US Orléans Loiret Football ,France,Mediocampista defensivo|Mediocampista central,24,Bueno,Yohan Demoncy
11019,Tianjin Tianhai FC ,Korea Republic,Defensa central,26,Bueno,Song Ju Hun
11020,Free Agents ,Bulgaria,Delantero|Mediocampista ofensivo|Delantero central,31,Bueno,Dimitar Iliev
11021,Coventry City ,England,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),22,Bueno,Brandon Mason
11022,FC Basel 1893 ,Serbia,Portero,23,Bueno,Dorde Nikolic
11023,TSV Hartberg ,Austria,Defensa central,30,Bueno,Michael Huber
11024,Lyngby BK ,Denmark,Delantero|Mediocampista ofensivo,27,Bueno,Frederik Gytkjær
11025,SSV Jahn Regensburg ,Denmark,Delantero,30,Bueno,Andreas Albers
11026,Sivasspor ,Turkey,Mediocampista lateral|Mediocampista central,28,Bueno,Cem Özdemir
11027,Portimonense SC ,Brazil,Defensa central|Mediocampista defensivo,24,Bueno,Fernando Medeiros
11028,Club Bolívar ,Bolivia,Mediocampista defensivo|Mediocampista central,30,Bueno,Cristhian Machado
11029,R. Oviedo ,Spain,Mediocampista lateral,22,Bueno,Viti Rozada
11030,Crawley Town ,DR Congo,Mediocampista lateral (Mediocampista derecho),22,Bueno,Beryly Lubala
11031,Brescia ,Italy,Defensa central|Mediocampista defensivo,22,Bueno,Massimiliano Mangraviti
11032,Reading ,Brazil,Defensa lateral|Mediocampista defensivo|Mediocampista central,24,Bueno,Araruna
11033,Fotbal Club FCSB ,Romania,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista defensivo,31,Bueno,Alexandru Stan
11034,Asocia?ia Fotbal Club Astra Giurgiu ,Romania,Defensa central|Mediocampista defensivo,32,Bueno,Alexandru Dandea
11035,FK Bodø/Glimt ,Norway,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),20,Bueno,Jens Petter Hauge
11036,Club Atlético Banfield ,Argentina,Defensa central,22,Bueno,Alexis Maldonado
11037,Leicester City ,England,Delantero,21,Bueno,George Hirst
11038,Ulsan Hyundai Horang-i ,Korea Republic,Delantero|Mediocampista ofensivo,22,Bueno,Lee Sang Heon
11039,Manchester United ,Netherlands,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),20,Muy bueno,Tahith Chong
11040,Vålerenga Fotball ,Costa Rica,Mediocampista lateral|Extremo (Extremo derecho),27,Bueno,Deyver Vega
11041,Universidad de Chile ,Chile,Delantero|Mediocampista lateral (Mediocampista derecho),21,Muy bueno,Franco Lobos
11042,SD Ponferradina ,Spain,Delantero,25,Bueno,Asier Benito
11043,Jeju United FC ,Korea Republic,Defensa central,32,Bueno,Kweon Han Jin
11044,Coventry City ,Republic of Ireland,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),22,Bueno,Jordan Shipley
11045,Rodez Aveyron Football ,France,Lateral (lateral izquierdo)|Extremo (Extremo derecho),26,Bueno,Valentin Henry
11046,CD Universidad de Concepción ,Chile,Defensa lateral|Mediocampista lateral|Extremo (Extremo derecho),21,Bueno,Simón Ramírez
11047,Ipswich Town ,England,Mediocampista central|Mediocampista ofensivo,21,Bueno,Andre Dozzell
11048,Matsumoto Yamaga F.C. ,Japan,Delantero,34,Bueno,Hiroyuki Takasaki
11049,Oita Trinita ,Japan,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Delantero central,32,Bueno,Kaoru Takayama
11050,FC Seoul ,Korea Republic,Mediocampista central,25,Bueno,Jung Won Jin
11051,Lokomotiv Moscow ,Russia,Portero,25,Bueno,Nikita Medvedev
11052,Júbilo Iwata ,Japan,Mediocampista defensivo|Mediocampista central,31,Bueno,Kentaro Moriya
11053,Club Atlético Nacional Potosí ,Colombia,Mediocampista defensivo,31,Bueno,Alexis Hinestroza
11054,Vissel Kobe ,Japan,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Delantero central,28,Bueno,Keijiro Ogawa
11055,Al Nassr ,Saudi Arabia,Mediocampista defensivo|Mediocampista central,22,Bueno,Mukhtar Ali
11056,Kashima Antlers ,Japan,Defensa lateral,26,Bueno,Yukitoshi Ito
11057,Kashima Antlers ,Japan,Defensa lateral (lateral derecha),35,Bueno,Shuto Yamamoto
11058,Argentinos Juniors ,Argentina,Mediocampista defensivo|Mediocampista central,24,Bueno,Francis Mac Allister
11059,Yokohama F·Marinos ,Japan,Defensa lateral|Defensa lateral (lateral derecha),30,Bueno,Takuya Wada
11060,Granada CF ,Portugal,Defensa lateral,23,Bueno,Gonçalo Tavares
11061,Sagan Tosu ,Japan,Delantero,35,Bueno,Yohei Toyoda
11062,Júbilo Iwata ,Japan,Defensa central,36,Bueno,Kentaro Oi
11063,Oita Trinita ,Japan,Mediocampista defensivo|Mediocampista central,31,Bueno,Yuki Kobayashi
11064,Shonan Bellmare ,Japan,Defensa central,30,Bueno,Kazunari Ono
11065,Sanfrecce Hiroshima ,Japan,Portero,37,Bueno,Takuto Hayashi
11066,Hokkaido Consadole Sapporo ,Japan,Lateral (lateral izquierdo)|Mediocampista lateral|Mediocampista central|Extremo (Extremo derecho),28,Bueno,Yoshiaki Komai
11067,Vegalta Sendai ,Japan,Delantero|Mediocampista central|Delantero central,23,Bueno,Takuma Nishimura
11068,La Spezia ,Italy,Defensa lateral|Mediocampista central,24,Bueno,Luca Vignali
11069,Oldham Athletic ,Curacao,Defensa lateral (lateral derecha)|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),27,Bueno,Gevaro Nepomuceno
11070,Forest Green Rovers ,Gambia,Mediocampista defensivo|Mediocampista central,24,Bueno,Ebou Adams
11071,Shonan Bellmare ,Japan,Delantero|Delantero central|Extremo (Extremo derecho),35,Bueno,Naoki Ishihara
11072,Shonan Bellmare ,Japan,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Delantero central,33,Bueno,Tsukasa Umesaki
11073,Shonan Bellmare ,Japan,Lateral (lateral izquierdo)|Defensa central|Mediocampista lateral|Extremo (Extremo derecho),28,Bueno,Takuya Okamoto
11074,Club Atlético Central Córdoba ,Argentina,Mediocampista central,31,Bueno,Juan Galeano
11075,New York City FC ,United States,Defensa central,28,Bueno,Sebastien Ibeagha
11076,Fotbal Club Academica Clinceni ,Romania,Defensa central,29,Bueno,Florin Bejan
11077,Chicago Fire Soccer Club ,Germany,Delantero|Mediocampista lateral,26,Bueno,Fabian Herbers
11078,Chamois Niortais Football Club ,France,Defensa lateral|Defensa lateral (lateral derecha)|Defensa central,24,Bueno,Julien Dacosta
11079,Borussia Dortmund ,Germany,Portero,24,Bueno,Eric Oelschlägel
11080,LA Galaxy ,Honduras,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),22,Bueno,Danilo Acosta
11081,Aarhus AGF ,Denmark,Defensa central,27,Bueno,Frederik Tingager
11082,Al Ittihad ,Saudi Arabia,Defensa central,26,Bueno,Ziyad Al Sahafi
11083,Alianza Petrolera ,Colombia,Defensa central,25,Bueno,Carlos Pérez
11084,Deportivo Pasto ,Colombia,Delantero|Mediocampista lateral,28,Bueno,Edis Ibargüen
11085,Belenenses ,South Africa,Mediocampista defensivo|Mediocampista central,26,Bueno,Thibang Phete
11086,LDU Quito ,Ecuador,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista lateral,30,Bueno,José Quintero
11087,IF Elfsborg ,Sweden,Mediocampista defensivo|Mediocampista central,27,Bueno,Robert Gojani
11088,Arka Gdynia ,Sweden,Defensa central,27,Bueno,Douglas Bergqvist
11089,Östersunds FK ,Guinea,Portero,33,Bueno,Aly Keita
11090,Fotbal Club Politehnica Ia?i ,Nigeria,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),28,Bueno,Michael Omoh
11091,Lechia Gdansk ,Portugal,Delantero,21,Bueno,Zé Gomes
11092,Panathinaikos FC ,Portugal,Defensa lateral|Defensa central,24,Bueno,João Nunes
11093,Shamrock Rovers ,Republic of Ireland,Defensa central,27,Bueno,Lee Grace
11094,Newell's Old Boys ,Argentina,Portero,23,Bueno,Ramiro Macagno
11095,Monterrey ,Mexico,Portero,24,Bueno,Edson Reséndez
11096,Hallescher FC ,Germany,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,25,Bueno,Marcel Hilßner
11097,FC Lugano ,Slovenia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),24,Bueno,Domen Crnigoj
11098,AJ Auxerre ,France,Mediocampista defensivo|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,24,Bueno,Aly Ndom
11099,Rotherham United ,Nigeria,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),23,Bueno,Chiedozie Ogbene
11100,Seongnam FC ,Croatia,Delantero,26,Bueno,Tomislav Kiš
11101,Independiente Santa Fe ,Colombia,Mediocampista central,26,Bueno,Kelvin Osorio
11102,Accrington Stanley ,England,Defensa lateral,23,Bueno,Callum Johnson
11103,Middlesbrough ,England,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),22,Bueno,Hayden Coulson
11104,Çaykur Rizespor ,Ukraine,Delantero,24,Bueno,Andriy Boryachuk
11105,Al Ittihad ,Saudi Arabia,Mediocampista defensivo|Mediocampista central,25,Bueno,Abdulelah Al Malki
11106,Pescara ,Italy,Portero,22,Bueno,Fabrizio Alastra
11107,Vitesse ,Netherlands,Delantero|Extremo (Extremo izquierdo),22,Bueno,Jay-Roy Grot
11108,Fortaleza ,Brazil,Mediocampista defensivo,28,Bueno,Paulito Zanon
11109,Vasco da Gama ,Brazil,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),20,Bueno,Jackson Crusso
11110,Centro Sportivo Alagoano ,Brazil,Mediocampista defensivo|Mediocampista central,20,Bueno,Henrique Jardinel
11111,Chapecoense ,Brazil,Defensa central,28,Bueno,Benjamin Muscato
11112,Palmeiras ,Brazil,Mediocampista lateral (Mediocampista derecho)|Mediocampista central,24,Bueno,João Gerster
11113,São Paulo ,Brazil,Defensa lateral|Mediocampista defensivo,32,Bueno,Edu Selneira
11114,Grêmio ,Brazil,Delantero,24,Bueno,Marcelo Vildeia
11115,Avaí ,Brazil,Defensa central,20,Bueno,Sidnei Dalmeira
11116,Moreirense FC ,Portugal,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),27,Bueno,Luís Machado
11117,Stoke City ,Northern Ireland,Mediocampista central|Mediocampista ofensivo,23,Bueno,Jordan Thompson
11118,Puebla ,Mexico,Mediocampista lateral,23,Bueno,Alan Acosta
11119,Legia Warszawa ,France,Delantero,25,Bueno,Vamara Sanogo
11120,Kilmarnock ,Finland,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),23,Bueno,Niko Hämäläinen
11121,Fleetwood Town ,Australia,Defensa central,21,Bueno,Harry Souttar
11122,Atlético Bucaramanga ,Colombia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,23,Bueno,Ever Valencia
11123,Antalyaspor ,Turkey,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,23,Bueno,Harun Alpsoy
11124,Esbjerg fB ,Denmark,Mediocampista lateral|Extremo (Extremo derecho),23,Bueno,Mathias Kristensen
11125,Colorado Rapids ,United States,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),23,Bueno,Jonathan Lewis
11126,US Orléans Loiret Football ,France,Portero,26,Bueno,Jérémy Vachoux
11127,CD Lugo ,Spain,Portero,27,Bueno,Varo
11128,Free Agents ,Ivory Coast,Defensa lateral,30,Bueno,Mamadou Bagayoko
11129,Eintracht Braunschweig ,Germany,Defensa lateral|Defensa central,23,Bueno,Robin Becker
11130,Fleetwood Town ,England,Defensa central|Mediocampista defensivo|Mediocampista central,22,Bueno,Callum Connolly
11131,Royal Excel Mouscron ,Serbia,Defensa lateral (lateral derecha)|Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),25,Bueno,Nemanja Antonov
11132,Sociedad Deportiva Aucas ,Argentina,Mediocampista defensivo,36,Bueno,Alejandro Frezzotti
11133,Audax Italiano ,Chile,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,21,Bueno,René Meléndez
11134,Holstein Kiel ,Germany,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,23,Bueno,Finn Porath
11135,Peterborough United ,England,Defensa lateral,23,Bueno,Niall Mason
11136,Fulham ,United States,Mediocampista central|Mediocampista ofensivo,22,Bueno,Luca de la Torre
11137,Sunderland ,Turkey,Defensa central,27,Bueno,Alim Öztürk
11138,LKS Lódz ,Poland,Delantero,29,Bueno,Lukasz Sekulski
11139,MSV Duisburg ,Germany,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),23,Bueno,Ahmet Engin
11140,Northampton Town ,England,Defensa lateral|Defensa central,24,Bueno,Charlie Goode
11141,Peterborough United ,England,Lateral (lateral izquierdo)|Mediocampista lateral|Extremo (Extremo derecho),24,Bueno,Joe Ward
11142,Rangers FC ,England,Defensa central,22,Bueno,George Edmundson
11143,Rodez Aveyron Football ,Netherlands,Defensa central,23,Bueno,Bart Straalman
11144,Trapani ,Italy,Mediocampista central,23,Bueno,Salvatore Aloi
11145,Envigado FC ,Colombia,Delantero,23,Bueno,Michael Gómez
11146,PEC Zwolle ,Japan,Defensa lateral|Defensa lateral (lateral derecha),26,Bueno,Sai van Wermeskerken
11147,Venezia ,Italy,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),22,Bueno,Gian Filippo Felicioli
11148,Patronato ,Argentina,Delantero|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,22,Bueno,Nicolás Delgadillo
11149,Colchester United ,England,Mediocampista defensivo|Mediocampista central,23,Bueno,Ben Stevenson
11150,Montpellier Hérault SC ,France,Portero,22,Bueno,Dimitry Bertaud
11151,Le Mans FC ,France,Defensa lateral|Mediocampista defensivo,23,Bueno,Aloïs Confais
11152,GIF Sundsvall ,Sweden,Delantero|Delantero central,23,Bueno,Peter Wilson
11153,FC Sochaux-Montbéliard ,Algeria,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,24,Bueno,Sofiane Daham
11154,Livorno ,Slovenia,Defensa central,26,Bueno,Matija Boben
11155,AZ ,Netherlands,Defensa central,23,Bueno,Joris Kramer
11156,Stabæk Fotball ,Norway,Delantero,28,Bueno,Fitim Azemi
11157,Blackburn Rovers ,England,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),22,Bueno,Harry Chapman
11158,Waasland-Beveren ,Finland,Defensa central,29,Bueno,Valtteri Moren
11159,Free Agents ,Slovenia,Portero,31,Bueno,Nejc Vidmar
11160,VfL Osnabrück ,Austria,Defensa central|Mediocampista defensivo,25,Bueno,Lukas Gugganig
11161,Crewe Alexandra ,England,Mediocampista defensivo|Mediocampista central,23,Bueno,Ryan Wintle
11162,VfL Wolfsburg ,Belgium,Delantero|Mediocampista lateral (Mediocampista derecho),22,Bueno,Ismail Azzaoui
11163,Wolfsberger AC ,Senegal,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),26,Bueno,Cheikhou Dieng
11164,FC Seoul ,Korea Republic,Defensa central|Mediocampista defensivo,27,Bueno,Jeong Hyun Cheol
11165,Deportivo Pasto ,Uruguay,Delantero,28,Bueno,Carlos Núñez
11166,FC Lugano ,Ivory Coast,Defensa lateral|Defensa central,24,Bueno,Eloge Yao
11167,Deportivo Pasto ,Colombia,Defensa lateral (lateral derecha),24,Bueno,Mairon Quiñones
11168,VVV-Venlo ,Switzerland,Defensa central|Mediocampista defensivo,25,Bueno,Roy Gelmi
11169,Swindon Town ,England,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,25,Bueno,Keshi Anderson
11170,Genoa ,Uruguay,Portero,28,Bueno,Salvador Ichazo
11171,Crewe Alexandra ,England,Extremo (Extremo izquierdo),22,Bueno,Charlie Kirk
11172,BK Häcken ,Sweden,Defensa lateral|Defensa lateral (lateral derecha),23,Bueno,Adam Andersson
11173,Swindon Town ,England,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),25,Bueno,Kaiyne Woolery
11174,Rotherham United ,Scotland,Mediocampista defensivo|Mediocampista central,24,Bueno,Jamie Lindsay
11175,FC Cincinnati ,United States,Defensa lateral|Defensa central,28,Bueno,Saad Abdul-Salaam
11176,FC Cincinnati ,United States,Mediocampista defensivo|Mediocampista central,26,Bueno,Fatai Alashe
11177,Sporting Kansas City ,United States,Delantero|Extremo (Extremo derecho),27,Bueno,Khiry Shelton
11178,FK Haugesund ,Ivory Coast,Defensa central,25,Bueno,Ben Kantie Karamoko
11179,Independiente Santa Fe ,Colombia,Defensa central,26,Bueno,Jeisson Palacios
11180,Colchester United ,England,Mediocampista lateral,23,Bueno,Courtney Senior
11181,Jaguares Fútbol Club ,Colombia,Defensa lateral (lateral derecha),30,Bueno,Leonardo Saldaña
11182,Motherwell ,England,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),27,Bueno,Jermaine Hylton
11183,Salford City ,England,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),24,Bueno,Ashley Hunter
11184,U.N.A.M. ,United States,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),23,Bueno,Sebastian Saucedo
