,TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
108,Borussia Dortmund ,Belgium,Mediocampista defensivo|Mediocampista central,31,Muy bueno,Axel Witsel
109,Real Madrid ,Wales,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),31,Muy bueno,Gareth Bale
110,Tottenham Hotspur ,Belgium,Defensa lateral (lateral derecha)|Defensa central,33,Muy bueno,Jan Vertonghen
111,FC Barcelona ,Croatia,Mediocampista central,32,Muy bueno,Ivan Rakitic
112,Juventus ,Argentina,Delantero,32,Muy bueno,Gonzalo Higuaín
113,Manchester City ,Brazil,Defensa central|Mediocampista defensivo,35,Muy bueno,Fernandinho
114,Milan ,Sweden,Delantero,38,Muy bueno,Zlatan Ibrahimovic
115,Bayer 04 Leverkusen ,Germany,Mediocampista lateral|Mediocampista ofensivo,21,Sobresaliente,Kai Havertz
116,Manchester United ,England,Delantero|Mediocampista lateral (Mediocampista derecho),22,Muy bueno,Marcus Rashford
117,Inter ,Argentina,Delantero,22,Sobresaliente,Lautaro Martínez
118,Leicester City ,Nigeria,Mediocampista defensivo|Mediocampista central,23,Muy bueno,Wilfred Ndidi
119,FC Bayern München ,France,Defensa lateral (lateral derecha)|Defensa central,24,Muy bueno,Lucas Hernández
120,FC Bayern München ,France,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),24,Muy bueno,Kingsley Coman
121,FC Porto ,Brazil,Defensa lateral (lateral derecha),27,Muy bueno,Alex Telles
122,Borussia Dortmund ,Germany,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,24,Muy bueno,Julian Brandt
123,Leicester City ,Portugal,Defensa lateral,26,Muy bueno,Ricardo Pereira
124,Atlético Madrid ,Ghana,Mediocampista defensivo|Mediocampista central,27,Muy bueno,Thomas Partey
125,FC Bayern München ,Germany,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,25,Muy bueno,Leon Goretzka
126,Atlético Madrid ,Brazil,Defensa central,31,Muy bueno,Felipe
127,Chelsea ,Croatia,Mediocampista central,26,Muy bueno,Mateo Kovacic
128,Chelsea ,Italy,Mediocampista defensivo|Mediocampista central,28,Muy bueno,Jorginho
129,Olympique Lyonnais ,Netherlands,Mediocampista ofensivo|Delantero central|Extremo (Extremo izquierdo),26,Muy bueno,Memphis Depay
130,Atalanta ,Slovenia,Delantero|Delantero central,32,Muy bueno,Josip Ilicic
131,Napoli ,Brazil,Mediocampista central,29,Muy bueno,Allan
132,Lazio ,Italy,Defensa central,32,Muy bueno,Francesco Acerbi
133,Olympique Lyonnais ,Portugal,Portero,29,Muy bueno,Anthony Lopes
134,AS Monaco Football Club SA ,France,Delantero,29,Muy bueno,Wissam Ben Yedder
135,Real Madrid ,Colombia,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,29,Muy bueno,James Rodríguez
136,FC Barcelona ,Brazil,Portero,31,Muy bueno,Neto
137,Paris Saint-Germain ,Senegal,Mediocampista defensivo|Mediocampista central,30,Muy bueno,Idrissa Gueye
138,Arsenal ,France,Delantero,29,Muy bueno,Alexandre Lacazette
139,Napoli ,Greece,Defensa central,29,Muy bueno,Kostas Manolas
140,Juventus ,Brazil,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),29,Muy bueno,Alex Sandro
141,Juventus ,Brazil,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),29,Muy bueno,Douglas Costa
142,Real Betis ,Spain,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,29,Muy bueno,Canales
143,Shanghai SIPG FC ,Brazil,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Muy bueno,Oscar
144,Manchester City ,Germany,Mediocampista defensivo|Mediocampista central,29,Muy bueno,Ilkay Gündogan
145,Napoli ,Spain,Mediocampista lateral|Extremo (Extremo derecho),33,Muy bueno,José Callejón
146,Chelsea ,Spain,Defensa lateral|Defensa lateral (lateral derecha)|Defensa central,30,Muy bueno,Azpilicueta
147,FC Barcelona ,Chile,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,33,Muy bueno,Arturo Vidal
