Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Crime, Comedy, Science Fiction",pl,2021-06-18,5.6,deepest; stayathome; discovers,In for a Murder
"Animation, Science Fiction",ja,2020-03-19,6.5,boss; latimer; death,Altered Carbon: Resleeved
Drama,pt,1981-01-01,4.3,hunky; make; wait,Porno
"Animation, Family",en,2002-06-21,7.5,lilo; little; experiment,Lilo & Stitch
"Adventure, Drama, Action",en,2014-12-03,5.8,egyptian; its; plagues,Exodus: Gods and Kings
"Thriller, Drama",en,2010-07-15,6.4,chosen; study; guards,The Experiment
"Adventure, Action, Science Fiction, Thriller",en,2009-10-01,5.6,hope; threaten; catastrophe,Universal Soldier: Regeneration
"Thriller, Horror, Mystery",en,2021-10-06,5.6,entire; killer's; maniac,There's Someone Inside Your House
Animation,ja,2016-08-10,7.6,future; goku; f,Dragon Ball Z Special 9 - Future Trunks Special
"Fantasy, Drama, Crime",en,1999-12-10,8.5,off; tale; set,The Green Mile
"Horror, Mystery, Thriller",en,2021-03-05,6.2,hour; festival; entrenched,Dreamcatcher
"Thriller, Horror",en,2014-08-25,5.6,rapture; dan; turning,The Remaining
Comedy,en,2012-04-04,6.3,return; friendship; highschool,American Reunion
Comedy,en,2009-03-11,6.3,midlife; old; 17,17 Again
Horror,en,2020-09-21,6.4,scientist; wife; embarks,The Scientist
"Animation, Family, Comedy, Fantasy",en,2018-11-08,6.8,celebration; holiday; christmas,The Grinch
"Romance, Drama",da,2021-06-24,5.7,loves; receives; sent,A Taste of Hunger
Comedy,en,2013-05-23,6.2,no; there's; bachelor,The Hangover Part III
"Action, Drama, War",fr,2011-11-02,6.7,execution; yet; independent,Special Forces
Romance,zh,2021-04-16,2.0,'princess'; qiao; weiyang,August Never Ends
"Animation, Drama, Romance, Family",ja,2018-09-01,8.3,days; crush; make,I Want to Eat Your Pancreas
"Thriller, Action, Drama",fr,2021-03-05,5.9,sister; lethal; hurt,Sentinelle
"Action, Adventure, Comedy, Drama, Fantasy, Animation",ja,2009-08-01,7.3,minds; nation; toward,Naruto Shippuden the Movie: The Will of Fire
"Animation, Family, Adventure, Fantasy, Romance",en,1992-11-25,7.6,embroiled; sneaks; meets,Aladdin
"Horror, Mystery, Family",en,2021-10-05,5.3,poor; don't; these,Escape the Undertaker
"Family, Comedy, Fantasy",en,2000-11-17,6.7,whos; snowflake; steal,How the Grinch Stole Christmas
"Action, Adventure, Science Fiction",en,2019-12-18,6.4,dameron; begins; resistance,Star Wars: The Rise of Skywalker
"Action, Fantasy, Thriller",en,2011-03-24,6.1,plan; abusive; escape,Sucker Punch
"Action, Thriller, Drama",es,2009-11-06,7.5,ordeal; desperate; inmate,Cell 211
"Action, Comedy, Science Fiction",en,2015-07-16,5.7,video; attacked; who've,Pixels
"Crime, Drama, Mystery",en,2021-06-24,6.4,really; simple; completely,No Sudden Move
"Animation, Drama, Family",en,1942-08-14,7.0,season; unfolds; forest,Bambi
"Comedy, Romance",en,2008-12-09,6.6,embrace; across; yes,Yes Man
Horror,en,2021-01-12,4.9,summer; backcountry; path,Butchers
Horror,en,1973-05-31,7.7,priest; faith; area,The Exorcist
"Horror, Science Fiction",en,2020-08-26,6.3,past; abilities; five,The New Mutants
"Crime, Drama, Action, Thriller, Science Fiction",en,2010-03-20,5.4,civilization; standing; seething,TEKKEN
Animation,tr,2021-10-07,7.2,tale; halloween; haunt,Mickey's Tale of Two Witches
Drama,en,2018-02-01,6.4,sisters; tough; concepts,Euphoria
"Animation, Family",en,1941-10-31,7.0,buddy; mouse; ears,Dumbo
"Horror, Comedy",en,2021-06-25,6.2,keep; ranger; begins,Werewolves Within
"Fantasy, Adventure",en,2012-03-28,5.7,live; perseus; control,Wrath of the Titans
"Action, Mystery, Thriller",en,2011-02-16,6.7,coma; even; (not,Unknown
"Action, Science Fiction, Horror, TV Movie",en,2018-08-10,5.7,themselves; face; unidentified,Megalodon
Horror,en,1974-10-01,7.3,do; murderous; brother,The Texas Chain Saw Massacre
"Science Fiction, Crime, Animation, Mystery, Action",en,2019-07-19,7.3,wayne's; destroy; further,Batman: Hush
"Family, Animation, Science Fiction, Comedy, TV Movie",en,2020-08-28,7.5,faroff; planet; abducted,Phineas and Ferb: The Movie: Candace Against the Universe
"Animation, Family, Fantasy, Adventure",en,1951-07-28,7.2,following; disappears; tumbles,Alice in Wonderland
"Animation, Drama, Romance, Fantasy",ja,2020-06-18,8.0,kento; also; magic,A Whisker Away
"Comedy, Romance, Fantasy",pt,2021-12-26,6.0,electrocuted; hear; thoughts,Lulli
"Adventure, Animation, Comedy, Family",en,2019-05-24,7.0,scary; gruff; baby,The Secret Life of Pets 2
Thriller,en,2021-04-30,6.3,stranger; steel; location,The Virtuoso
Documentary,en,2021-08-12,7.3,north; brother; film,Assassins
"Action, Animation, Science Fiction",ja,1991-03-19,6.4,super; named; warriors,Dragon Ball Z: Lord Slug
Comedy,en,2018-06-27,6.7,drew; compete; basketball,Uncle Drew
"Action, Adventure, Comedy, Fantasy, Animation",ja,2017-05-06,6.6,secrets; enemies; again,Fairy Tail: Dragon Cry
"Horror, Science Fiction, Mystery",en,2021-06-11,5.2,win; game; rich,Dinosaur Hotel
"Drama, History, War",en,1998-07-24,8.2,brothers; ranger; men,Saving Private Ryan
"Action, Adventure, Science Fiction, Thriller",en,2015-03-18,6.4,society; inner; fight,Insurgent
"Comedy, Romance",en,2011-01-21,6.3,friend; best; stay,No Strings Attached
"Horror, Action, Thriller",en,2018-07-04,6.0,percent; spread; borders,The First Purge
"Action, Adventure, Crime",en,2017-01-13,5.8,recover; governments; allnew,xXx: Return of Xander Cage
Comedy,en,2014-05-21,6.8,bad; together; resort,Blended
"Action, Adventure, Science Fiction, Fantasy",en,2015-12-15,7.3,ren; empire; army,Star Wars: The Force Awakens
Horror,en,2021-04-23,5.7,producer; also; starts,Bloodthirsty
"Action, Adventure, Fantasy",en,2016-08-03,5.9,suicide; supervillains; comics,Suicide Squad
Horror,en,2021-03-26,5.6,teams; priest; between,The Seventh Day
"Crime, Horror, Mystery",en,1996-12-20,7.3,off; killer; begins,Scream
"Adventure, Animation, Family",en,2015-11-14,6.7,epic; unlikely; human,The Good Dinosaur
"Action, Animation, Fantasy",ja,2014-06-21,6.5,saint; gold; greatest,Saint Seiya: Legend of Sanctuary
"Thriller, Horror",en,2020-09-10,6.2,elements; wilderness; widowed,Alone
"Animation, Action, Comedy",en,2021-06-30,5.8,american; sam; adams,America: The Motion Picture
"Action, Adventure, Fantasy",en,2017-03-08,6.5,dangerous; explorers; apes,Kong: Skull Island
"Comedy, Horror",en,2009-10-07,7.3,terrifying; evolved; habit,Zombieland
"Horror, Thriller, Mystery",en,2019-06-26,6.4,ed; demonologists; priest’s,Annabelle Comes Home
"Action, Comedy, Family",zh,2009-07-03,4.4,chan; jackie; lessons,Jackie Chan Kung Fu Master
Documentary,en,2004-10-27,5.0,careers; exhibitionism; records,Thinking XXX
"Horror, Fantasy, Action, Science Fiction",ja,2015-08-01,5.9,due; ago; titans,Attack on Titan
"Drama, Music",tr,2022-01-21,8.0,shared; connection; bonds,My Father's Violin
"Romance, Comedy",es,2021-09-01,8.0,connection; search; tv,Millonario sin amor
"Adventure, Action, Science Fiction",en,2010-12-14,6.4,real; flynn; quorra,TRON: Legacy
"Action, Drama, Science Fiction",en,2014-05-14,6.3,colossal; adversaries; expert,Godzilla
"Action, Comedy, Science Fiction",en,2012-05-23,6.5,humankind; men; black,Men in Black 3
"Family, Music, Adventure, Comedy, Fantasy, TV Movie",en,2015-07-31,7.1,troublemaking; jafar; de,Descendants
"Fantasy, Animation, Romance, Family",en,1959-02-17,6.9,true; princess; terrible,Sleeping Beauty
"Horror, Thriller",en,2017-01-19,7.3,teenage; between; survival,Split
"Action, Crime, Thriller",en,2021-04-16,5.8,damon; retired; again,Vanquish
"Action, Crime, Drama",en,2020-08-07,5.7,across; tax; ranking,The Tax Collector
"Action, Animation, Adventure",ja,2017-06-30,6.8,real; ball; between,Dragon Ball Z: The Real 4-D at Super Tenkaichi Budokai
"Fantasy, Horror, Action",en,2013-01-17,6.0,vigilantes; gretel; getting,Hansel & Gretel: Witch Hunters
"Animation, Action, Fantasy, Adventure",ja,2019-05-10,7.1,events; kabaneri; half,Kabaneri of the Iron Fortress: The Battle of Unato
"Animation, Action, Fantasy",zh,2021-02-06,8.3,deliveryman; nemeses; old,New Gods: Nezha Reborn
"Action, Adventure, Science Fiction",en,2015-11-18,6.9,katniss; –; unit,The Hunger Games: Mockingjay - Part 2
Thriller,en,2021-05-05,6.8,boy; determined; fire,Those Who Wish Me Dead
"Family, Adventure, Fantasy",en,2021-11-25,7.6,meets; snowy; quest,A Boy Called Christmas
"Fantasy, Romance, Comedy",en,2021-09-03,6.6,come; stepmother; fabulous,Cinderella
"Adventure, Animation, Comedy, Family",en,1961-01-25,7.2,meeting; minions; brothers,One Hundred and One Dalmatians
"Animation, Action, Adventure, Science Fiction",ja,2008-09-21,6.3,feature; september; path,Dragon Ball: Yo! Son Goku and His Friends Return!!
"Romance, Comedy",en,2018-05-11,7.3,risks; forbidden; high,The Kissing Booth
"Thriller, Crime",en,2013-05-29,7.4,interpol; detective; track,Now You See Me
"Action, Horror, Thriller",en,2016-06-29,6.4,killed; barnes; police,The Purge: Election Year
"Romance, Comedy, Fantasy",en,2021-02-11,7.0,discover; anniversary; endless,Long Story Short
"Action, Adventure, Comedy, Fantasy, Romance, Animation",ja,2019-02-15,7.8,far; rather; ever,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion
"Comedy, Horror",en,2013-01-11,5.7,films; style; move,A Haunted House
"Drama, Crime, Thriller",fr,2010-03-23,6.6,outlaw; dead; then,22 Bullets
"Family, Comedy",en,1996-11-27,5.9,creates; evil; steal,101 Dalmatians
"Family, Animation, Adventure",en,1967-10-18,7.3,makes; bare; louie,The Jungle Book
"Horror, Fantasy",en,2017-09-06,7.2,seven; problems; small,It
"Family, Animation, Comedy, Fantasy, Adventure, Music",en,2020-03-11,7.4,feuding; among; certain,Trolls World Tour
"Comedy, Action, Romance, Adventure",en,2022-03-24,0.0,until; sure; book,The Lost City
Comedy,en,2021-08-27,7.2,decide; couple; couple,Vacation Friends
"Action, Thriller, Adventure",en,2011-12-07,7.0,dangerous; strike; too,Mission: Impossible - Ghost Protocol
"Thriller, Crime, Drama",en,2021-01-28,6.4,angeles; threaten; sheriff,The Little Things
"Action, Drama, Horror, Thriller",ja,2017-07-16,7.0,ghoul; part; fugitive,Tokyo Ghoul
"Action, Thriller",en,2014-10-22,7.4,comes; john; retirement,John Wick
"Family, Animation, Comedy, Fantasy",en,2015-09-21,6.8,vlad; supernatural; hotel,Hotel Transylvania 2
"Adventure, Action, Comedy, Fantasy",en,2017-12-09,6.8,play; game; survive,Jumanji: Welcome to the Jungle
"Crime, Drama, Mystery, Thriller",en,2014-09-18,6.3,private; hired; scudder,A Walk Among the Tombstones
"Fantasy, Action, Horror",en,2012-01-19,6.3,having; super; lycans,Underworld: Awakening
"Comedy, Drama",es,2012-03-29,6.3,path; strict; recently,Young and Wild
"Thriller, Crime, Action",en,2015-01-14,5.6,skills; nothing; vegas,Wild Card
"Romance, Drama",ko,2019-08-28,7.9,college; yeul; apart,Tune in for Love
"Action, Fantasy",zh,2011-09-27,6.2,chinese; advances; mortal,The Sorcerer and the White Snake
Horror,es,2021-04-15,4.6,dysfunctional; scene; household,The Funeral Home
"Animation, Family, Adventure, Fantasy",en,1953-02-05,7.2,hook; neverland; foil,Peter Pan
"Science Fiction, Action, Adventure",en,2017-12-13,6.9,powers; newly; guidance,Star Wars: The Last Jedi
"Animation, Adventure, Comedy, Family, Fantasy",en,2014-10-01,7.5,three; torn; path,The Book of Life
"Action, Adventure, Science Fiction",en,2018-12-15,6.7,bug; vw; ordinary,Bumblebee
"Animation, Fantasy, Romance, Drama",ja,2018-02-24,8.3,clan's; daydreams; knows,Maquia: When the Promised Flower Blooms
"Horror, Comedy",en,2019-11-21,6.3,childhood; move; beloved,Benny Loves You
"Drama, Comedy",en,2021-11-26,7.1,treacherous; navigation; alana,Licorice Pizza
"Animation, Family",en,2020-07-23,7.3,skeptical; movie; cartoon,The Larva Island Movie
Drama,en,2020-04-21,6.3,already; each; faith,Finding Grace
"Action, Animation, Crime, Drama",en,2016-07-24,6.6,point; diabolical; hunts,Batman: The Killing Joke
"Horror, Thriller",en,2019-10-24,6.4,away; live; tells,Countdown
Comedy,en,1996-01-12,6.9,(who; life?; gangbanging,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
Horror,en,2021-03-11,5.8,exconsturnedmovers; night?; victorian,Stay Out of the Attic
"Horror, Science Fiction, Mystery",en,2017-05-09,6.0,inhabitant:; actually; thought,Alien: Covenant
"Action, Adventure, Science Fiction",en,2014-03-14,6.9,types; fit; personality,Divergent
"Action, Science Fiction, Thriller",en,2017-10-13,6.1,system; disasters; wrong:,Geostorm
"Action, Drama, Science Fiction",ko,2013-08-14,7.5,mounts; morphs; toll,The Flu
Horror,ru,2020-02-27,6.0,daughter; then; everything,Baba Yaga: Terror of the Dark Forest
"Romance, Comedy",en,2016-01-28,4.9,meets; businessman; student,Fifty Shades of Black
"War, Drama, History",en,2008-05-07,7.9,imprisonment; pajamas; role,The Boy in the Striped Pyjamas
"Fantasy, Adventure, Family, Drama",en,2016-09-27,6.8,creatures; special; destroying,Miss Peregrine's Home for Peculiar Children
"Animation, Action, Adventure, Fantasy",zh,2019-08-16,6.9,entry; pro; original,The King's Avatar: For the Glory
Thriller,de,2021-08-17,6.1,teacher; secrets; island,Black Island
"Action, Adventure, Animation, Comedy, Family",en,2016-01-23,6.8,epic; adventures; hugely,Kung Fu Panda 3
"Animation, Adventure, Comedy, Family",es,2017-03-25,6.5,sara; lavrof's; legendary,"Tad, the Lost Explorer, and the Secret of King Midas"
"Fantasy, Animation, Comedy",zh,2015-07-10,7.0,encouragement; monkey; 500,Monkey King: Hero Is Back
"Comedy, Drama",en,2012-06-14,5.7,until; birthday; wedding,That's My Boy
"Animation, War, Science Fiction",en,2021-04-27,7.7,flash; ii; joins,Justice Society: World War II
"Adventure, Animation, Comedy, Family",en,2006-11-09,6.0,fair; see; band,The Fox and the Hound 2
"Animation, Family, Science Fiction",en,2008-06-22,8.1,stows; arrives; ship,WALL·E
"Romance, Drama",en,2019-03-14,8.3,dictate; instant; patient,Five Feet Apart
"Action, Crime",en,2017-06-28,7.5,taking; driver; working,Baby Driver
"Crime, Action, Thriller",en,2011-05-20,6.1,cop; dispatched; officers,Blitz
"Animation, Action, War, Fantasy",ja,2019-02-08,8.0,armies; upon; determined,Saga of Tanya the Evil: The Movie
"Family, TV Movie, Music, Adventure, Fantasy",en,2019-08-02,7.9,disney's; teenagers; join,Descendants 3
"Drama, Crime",en,2021-02-26,7.5,iraq; drugs; returning,Cherry
"Thriller, Drama, Horror",en,2021-10-27,6.1,unexpected; seeking; enlists,Hypnotic
"Thriller, Mystery, Horror, Crime",en,2019-09-11,7.0,recent; itself; boy,I See You
Drama,en,2021-12-17,6.7,jr; begins; demonstrative,The Tender Bar
"Adventure, Family, Fantasy",en,2008-05-15,6.6,miraz; prince; incredible,The Chronicles of Narnia: Prince Caspian
Drama,es,2021-10-08,6.9,frightened; middleaged; accident,Parallel Mothers
"Drama, Thriller, Action, Adventure",en,2012-01-26,6.6,including; companions; plane,The Grey
"Animation, Family, Comedy, Adventure",en,2012-06-06,6.6,alex; still; hide,Madagascar 3: Europe's Most Wanted
"Action, Thriller, Drama",en,2019-09-19,6.5,border; gabriela; interrupted,Rambo: Last Blood
"Adventure, Action, Fantasy",en,1999-04-16,6.8,dashing; than; since,The Mummy
"Animation, Family, Comedy, Adventure",en,2020-07-09,7.2,scooby; epic; race,Scoob!
