Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Science Fiction, Action, Adventure",en,2008-06-12,6.2,force; coming; planet,The Incredible Hulk
"Action, Science Fiction",en,2014-07-25,6.4,warrior; human; beyond,Lucy
Drama,en,2021-12-16,6.6,mother; woman's; vacation,The Lost Daughter
"Horror, Mystery, Thriller",en,2017-08-03,6.6,death; girls; shuttered,Annabelle: Creation
"Drama, Science Fiction, War",en,2017-07-11,7.1,face; caesar; unimaginable,War for the Planet of the Apes
"Animation, Family, Adventure, Comedy",en,2017-12-09,7.2,sitting; bull; quietly,Ferdinand
"Thriller, Comedy, Crime, Action",en,2017-08-16,6.9,top; justice; court,The Hitman's Bodyguard
"Horror, Thriller",en,2012-10-23,5.4,costumed; gather; mischief,Wrong Turn 5: Bloodlines
"Action, Comedy",en,2010-06-15,6.2,hinging; betrayals; vs,Knight and Day
"Romance, Drama, Thriller",ko,2018-03-14,6.7,trap”; webcomic; television,Cheese in the Trap
"Adventure, Action, Thriller, Science Fiction",en,2003-11-05,6.7,invasion; fights; smith,The Matrix Revolutions
"Comedy, Horror",en,2009-10-27,4.3,video; last; exgirlfriend,Stan Helsing
"Romance, Animation, Fantasy",zh,2019-01-11,7.8,deeper; lost; plot,White Snake
"Action, Adventure",en,2014-07-23,5.7,army; worldweary; hired,Hercules
Drama,en,2021-11-02,5.3,friend; tragic; decade,Skipping Stones
"Horror, Thriller",en,2011-10-17,5.7,refuge; maneating; deserted,Wrong Turn 4: Bloody Beginnings
"Science Fiction, Horror, Thriller",en,2013-05-31,6.3,themselves; these; overcrowded,The Purge
"Action, Fantasy, Comedy",en,2016-07-14,5.4,abby; worker; patty,Ghostbusters
"Animation, Action, Fantasy, Comedy",ja,2019-03-29,7.9,beloved; series; kasuga,Trinity Seven 2: Heaven's Library & Crimson Lord
"Horror, Mystery",en,2011-04-11,6.4,also; gale; last,Scream 4
"Action, Adventure, Fantasy, TV Movie",en,2014-10-07,4.6,forces; clan; order,Viking Quest
"Action, Western, Drama, Fantasy, Thriller",en,2010-06-18,4.9,determined; child; gets,Jonah Hex
"Animation, Adventure, Family, Music",en,2021-10-09,7.3,journey; bird; belongs,Robin Robin
"Horror, Thriller",pl,2020-03-13,5.0,rehabilitation; camp; addicted,Nobody Sleeps in the Woods Tonight
"Drama, Thriller, Crime",en,2011-09-15,7.6,lately; stuntman; masterminds,Drive
"Animation, Action, Science Fiction, Comedy, Adventure",en,2022-10-07,0.0,fulltime; spiderman; saga,Spider-Man: Across the Spider-Verse (Part One)
"Science Fiction, Drama",en,2017-10-04,7.5,potential; leads; blade,Blade Runner 2049
"Action, Animation, Science Fiction, Family",en,2007-09-18,6.7,lexcorp; based; death,Superman: Doomsday
Science Fiction,en,2009-08-05,7.4,dying; south; multinational,District 9
"Animation, Comedy, Adventure, Family",en,2019-08-02,7.2,differences; threat; green,The Angry Birds Movie 2
Horror,en,2020-05-12,6.3,prisoners; shelter; nun,A Nun's Curse
"Action, Drama, Thriller",en,2013-06-27,6.4,wanting; heavily; little,White House Down
"Science Fiction, Action, Adventure",en,2009-05-06,7.4,thrillseeking; logicbased; spock,Star Trek
"Action, Thriller",en,2008-02-18,7.4,job; american; best,Taken
"Fantasy, Family, TV Movie",en,2020-07-31,7.3,magic; sage; land,Upside-Down Magic
"Family, Animation, Adventure, Comedy, Fantasy",en,2020-02-29,7.8,brothers; little; elf,Onward
"Science Fiction, Action, Adventure, Comedy",en,2018-09-05,5.6,earth; forces; exsoldiers,The Predator
Drama,en,2016-03-17,7.4,accident; discovers; ferocious,Miracles from Heaven
"Comedy, Horror",en,2014-04-17,6.1,girlfriend; plagued; ex,A Haunted House 2
"Drama, Adventure, Science Fiction",en,2015-09-30,7.7,spirit; left; meager,The Martian
"Action, Animation, Comedy, Family, Adventure",en,2017-06-15,6.4,wife; star; '80s,Despicable Me 3
"Drama, Crime",es,2019-06-28,7.6,opportunity; criminal; union,Chicuarotes
Drama,en,2016-10-21,7.5,high; scott; true,I'm Not Ashamed
"Drama, Western",en,2012-12-25,8.1,freed; hunter; rescue,Django Unchained
"Action, Adventure, Drama, Thriller",en,2021-06-24,7.1,diamond; road; rescue,The Ice Road
"Adventure, Fantasy, Action",en,2011-01-07,5.4,14th; black; ritual,Season of the Witch
"Action, Thriller",en,2013-03-20,6.4,inside; house; kidnapped,Olympus Has Fallen
"Action, Science Fiction, Adventure, Thriller",en,2012-08-02,6.0,police; needs; memories,Total Recall
"Animation, Family, Comedy",en,2004-09-28,7.5,mark; tale; comes,Barbie as The Princess & the Pauper
"Science Fiction, Action",en,2020-12-17,4.4,people; creature; few,Breach
"Thriller, Science Fiction, Mystery",en,2011-06-08,6.7,movie; discover; filming,Super 8
"Action, Adventure, Comedy, Science Fiction",en,2021-04-09,5.7,estranged; gives; commonplace,Thunder Force
Drama,en,2018-03-30,7.0,tragedy; pastor; burned,God's Not Dead: A Light in Darkness
"Romance, Comedy, Drama",en,2021-12-02,6.5,handsome; holidays; peter,Single All the Way
"Drama, Mystery",en,2018-08-20,7.0,someone; challenged; lifetime,An Interview with God
"Thriller, Horror, Drama",en,2021-02-12,7.2,caleb; child; parents,Fear of Rain
Horror,en,1988-11-08,6.6,killer; gives; birthday,Child's Play
