Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
Horror,en,2019-07-19,8.5,chucky; better; doll,Tiffany + Chucky
"Drama, Romance",it,1972-10-14,7.0,anonymous; relationship; parisian,Last Tango in Paris
"Action, Drama, History, War",en,1976-06-18,6.6,depicts; battle; us,Midway
"Animation, Adventure, Family",en,2020-12-11,6.6,hand; hank; animal,A Trash Truck Christmas
Thriller,es,2019-04-04,6.4,sidewalk; trapped; respond:,4x4
"Animation, Adventure",en,2013-08-09,5.9,sees; knight; friendship,Justin and the Knights of Valour
"Western, Action, Drama",en,2015-12-31,5.8,barely; shot; outlaw,Jane Got a Gun
"Drama, Romance",de,2019-10-10,8.0,look; past; then,Close to the Horizon
"Comedy, Action",fr,2018-04-07,5.6,drive; police; assigned,Taxi 5
"Comedy, Fantasy, Horror",en,1987-06-12,6.5,single; wishes; cost,The Witches of Eastwick
"Action, Thriller, Adventure",en,2011-04-07,6.6,hanna; across; raised,Hanna
"Science Fiction, Adventure",en,1986-11-26,7.2,oceans; san; exactchange,Star Trek IV: The Voyage Home
"Animation, Action",en,2019-08-03,7.5,alltime; neighborhood; friendly,LEGO Marvel Spider-Man: Vexed by Venom
"Drama, Thriller",en,1979-01-25,7.5,1960; san; transferred,Escape From Alcatraz
"Comedy, Drama, Romance",en,2017-03-30,7.4,nanjiani; comedian; kumail,The Big Sick
Comedy,en,2003-04-14,4.1,classmates; prequel; 1994,Dumb and Dumberer: When Harry Met Lloyd
"Action, Mystery, Thriller, Science Fiction",en,2018-12-21,5.2,wife; proves; memory,Between Worlds
"Drama, Romance, War",en,1996-11-05,7.2,desert; ii; almásy,The English Patient
"Action, Comedy, Crime, Thriller",en,2003-01-17,5.9,operation; security; together,National Security
"Action, Adventure, Drama",en,2016-02-18,6.1,sword; redemption; lost,"Crouching Tiger, Hidden Dragon: Sword of Destiny"
"Comedy, Romance",en,2003-02-07,6.7,wills; wildly; romantic,How to Lose a Guy in 10 Days
"Adventure, Family, Fantasy, Comedy, Romance",en,1987-09-25,7.7,swordsmen; stop; tale,The Princess Bride
"Animation, Family",en,2009-10-27,6.6,baby; circus; chronicles,Curious George 2: Follow That Monkey!
"Drama, Horror, Romance, Science Fiction",en,2018-03-08,5.7,fights; broken; survive,Hostile
"Crime, Action, Drama, Thriller",en,2008-10-15,5.3,avenge; murders; sister's,Max Payne
Horror,en,2017-02-03,5.5,troubled; legend; mother,Don't Knock Twice
"Science Fiction, Comedy",es,2011-09-11,5.5,your; absolutely; knows,Extraterrestrial
"Thriller, Crime, Horror",en,2018-04-19,6.8,how; thief; longer,Bad Samaritan
"Drama, Thriller, Crime, Adventure",en,1991-05-24,7.6,surprising; thelma; aspects,Thelma & Louise
"Horror, Thriller",en,2019-02-06,6.2,son's; behavior; supernatural,The Prodigy
"Action, Science Fiction, War",en,1990-12-14,4.7,kidnap; winds; frozen,Captain America
"Crime, Drama, Romance, Thriller",fr,2000-06-28,4.3,injustices; prostitute; dead,Baise-moi
"Horror, Science Fiction, Fantasy, Mystery, Thriller",en,2006-03-31,6.5,taken; plague; zombies,Slither
"Science Fiction, Action, Thriller",en,2018-09-04,7.0,closely; college; skills,UFO
"Action, Mystery, Fantasy",ko,2018-06-27,7.6,high; many; secrets,The Witch: Part 1. The Subversion
"Action, Crime, Drama, Thriller",en,1990-01-18,5.9,newbie; tactics; who's,The Rookie
"Drama, Thriller",hi,2021-02-26,5.8,murder; truths; voyeuristic,The Girl on the Train
